crossID,Year,Crosses,Year,,crossID,Year,Crosses,
SL18-UCONN-S103,2019,SL18-NL-6-FG1xSL18-OI-16-MG1,2019,,SL19-UCONN-S279,2020,SA18-CB-4-FG6xSL18-JS-6-MG3,#N/A
SL18-UCONN-S104,2019,SL18-NL-6-FG1xSL18-SF-17-MG1,2019,,Check,2020,SL18-OI-15-FGxSL18-ME-MG1,#N/A
SL18-UCONN-S105,2019,SL18-NL-6-FG1xSL18-SF-19-MG2,2019,,SL19-UCONN-S328,2020,SL18-BL-17-FG3xSL18-FI-2-MG5,#N/A
SL18-UCONN-S11,2019,SL18-LD-10-FG2xSA18-CB-7-MG2,2019,,Check,2020,SL18-NL-7-FG3xSL18-OI-15-MG3,#N/A
SL18-UCONN-S12,2019,SL18-LD-10-FG2xSL18-NL-3-MG2,2019,,Check,2020,LIS-F1-3xSL18-CT-1-MG2,#N/A
SL18-UCONN-S120,2019,SL18-NL-9-FG2xSA18-CB-7-MG1,2019,,SL19-UCONN-S10,2020,SL18-OI-11-FG3xSL18-CC-1-MG3,#N/A
SL18-UCONN-S121,2019,SL18-NL-9-FG2xSL18-SF-19-MG1,2019,,SL19-UCONN-S101,2020,SL18-JS-16-FG3xSL18-NC-10-MG3,#N/A
SL18-UCONN-S124,2019,SL18-OI-11-FG1xSL18-SF-15-MG2,2019,,SL19-UCONN-S104,2020,SL18-OI-5-FG5xSA18-CB-7-MG3,#N/A
SL18-UCONN-S125,2019,SL18-OI-15-FG1xSA18-CB-2-MG3,2019,,SL19-UCONN-S111,2020,SL18-CC-1-FG2xSL18-OI-16-MG1,#N/A
SL18-UCONN-S127,2019,SL18-OI-15-FG1xSL18-NL-5-MG1,2019,,SL19-UCONN-S112,2020,SL18-NC-11-FG1xSL18-NL-2-MG1,#N/A
SL18-UCONN-S137,2019,SL18-OI-16-FG3xSA18-CB-5-MG3,2019,,SL19-UCONN-S113,2020,SL18-CC-5-FG2xSA18-CB-10-MG1,#N/A
SL18-UCONN-S14,2019,SL18-LD-13-FG2xSL18-LD-13-MG2,2019,,SL19-UCONN-S115,2020,SL18-LD-13-FG2xSL18-LD-13-MG2,2019
SL18-UCONN-S140,2019,SL18-OI-16-FG3xSL18-LD-3-MG2,2019,,SL19-UCONN-S119,2020,SL18-CC-5-FG3xSL18-OI-14-MG1,#N/A
SL18-UCONN-S141,2019,SL18-OI-16-FG3xSL18-NL-6-MG1,2019,,SL19-UCONN-S128,2020,SL18-JS-16-FG1xSL18-CC-4-MG11,#N/A
SL18-UCONN-S142,2019,SL18-OI-16-FG3xSL18-SF-17-MG2,2019,,SL19-UCONN-S130,2020,SL18-CC-11-FG3xSL18-JS-16-MG1,#N/A
SL18-UCONN-S145,2019,SL18-OI-17-FG2xSL18-SF-17-MG2,2019,,SL19-UCONN-S131,2020,SL18-NC-12-FG2xSA18-CB-4-MG3,#N/A
SL18-UCONN-S146,2019,SL18-OI-18-FG1xSL18-OI-9-MG3,2019,,SL19-UCONN-S132,2020,SL18-OD-5-FG1xSL18-CC-8-MG2,#N/A
SL18-UCONN-S147,2019,SL18-OI-18-FG2xSA18-CB-7-MG1,2019,,SL19-UCONN-S133,2020,SL18-CC-1-FG3xSL18-OI-9-MG2,#N/A
SL18-UCONN-S148,2019,SL18-OI-18-FG2xSL18-LD-10-MG1,2019,,SL19-UCONN-S137,2020,SL18-CC-5-FG1xSL18-JS-9-MG1,#N/A
SL18-UCONN-S149,2019,SL18-OI-18-FG2xSL18-LD-9-MG1,2019,,SL19-UCONN-S138,2020,SL18-OI-15-FG1xSA18-CB-2-MG3,2019
SL18-UCONN-S150,2019,SL18-OI-18-FG2xSL18-NL-2-MG2,2019,,SL19-UCONN-S139,2020,SL18-CC-12-FG3xSL18-OI-15-MG2,#N/A
SL18-UCONN-S151,2019,SL18-OI-18-FG2xSL18-LD-2-MG3,2019,,SL19-UCONN-S14,2020,SL18-SF-17-FG2xSL18-NC-1-MG1,#N/A
SL18-UCONN-S152,2019,SL18-OI-18-FG3xSL18-LL-9-MG1,2019,,SL19-UCONN-S145,2020,SL18-LL-9-FG6xSA18-CB-10-MG3,#N/A
SL18-UCONN-S153,2019,SL18-OI-18-FG3xSL18-OI-7-MG1,2019,,SL19-UCONN-S146,2020,SL18-OI-15-FG2xSA18-CB-2-MG3,#N/A
SL18-UCONN-S154,2019,SL18-OI-18-FG5xSA18-CB-4-MG3,2019,,SL19-UCONN-S147,2020,SA18-CB-2-FG3xSL18-NC-9-MG1,#N/A
SL18-UCONN-S155,2019,SL18-OI-18-FG5xSL18-LD-2-MG1,2019,,SL19-UCONN-S149,2020,SL18-NL-2-FG3xSA18-CB-4-MG1,2019
SL18-UCONN-S158,2019,SL18-OI-18-FG6xSA18-CB-1-MG2,2019,,SL19-UCONN-S151,2020,SA18-CB-5-FG4xSL18-CC-1-MG3,#N/A
SL18-UCONN-S162,2019,SL18-OI-2-FG2xSL18-LD-1-MG2,2019,,SL19-UCONN-S152,2020,SL18-CC-3-FG1xSL18-JS-6-MG3,#N/A
SL18-UCONN-S170,2019,SL18-OI-2-FG3xSL18-NL-9-MG1,2019,,SL19-UCONN-S153,2020,SL18-JS-16-FG1xSL18-LD-2-MG2,#N/A
SL18-UCONN-S172,2019,SL18-OI-2-FG3xSL18-SF-17-MG1,2019,,SL19-UCONN-S154,2020,SL18-NC-10-FG1xSL18-NC-5-MG1,#N/A
SL18-UCONN-S174,2019,SL18-OI-6-FG1xSA18-CB-2-MG1,2019,,SL19-UCONN-S157,2020,SL18-CC-1-FG2xSL18-OI-16-MG3,#N/A
SL18-UCONN-S175,2019,SL18-OI-6-FG1xSA18-CB-4-MG1,2019,,SL19-UCONN-S158,2020,SA18-CB-2-FG3xSL18-OI-2-MG2,#N/A
SL18-UCONN-S177,2019,SL18-OI-6-FG1xSL18-LD-2-MG1,2019,,SL19-UCONN-S159,2020,SL18-CC-5-FG3xSL18-JS-19-MG2,#N/A
SL18-UCONN-S178,2019,SL18-OI-6-FG1xSL18-LD-5-MG1,2019,,SL19-UCONN-S163,2020,SL18-JS-16-FG3xSL18-OD-6-MG2,#N/A
SL18-UCONN-S18,2019,SL18-LD-1-FG1xSL18-OI-18-MG1,2019,,SL19-UCONN-S169,2020,SL18-OI-4-FG2xSL18-NC-15-MG1,#N/A
SL18-UCONN-S180,2019,SL18-OI-6-FG1xSL18-NL-9-MG1,2019,,SL19-UCONN-S170,2020,SL18-NC-12-FG2xSL18-OI-16-MG1,#N/A
SL18-UCONN-S181,2019,SL18-OI-6-FG1xSL18-SF-15-MG1,2019,,SL19-UCONN-S174,2020,SL18-OI-4-FG2xSL18-JS-19-MG2,#N/A
SL18-UCONN-S182,2019,SL18-OI-6-FG1xSL18-SF-19-MG1,2019,,SL19-UCONN-S179,2020,SL18-CC-3-FG1xSL18-JS-5-MG2,#N/A
SL18-UCONN-S183,2019,SL18-OI-7-FG3xSA18-CB-2-MG3,2019,,SL19-UCONN-S180,2020,SL18-CC-3-FG2xSL18-OD-6-MG1,#N/A
SL18-UCONN-S189,2019,SL18-SF-13-FG1xSL18-LL-9-MG3,2019,,SL19-UCONN-S181,2020,SL18-LD-2-FG2xSL18-SF-19-MG1,2019
SL18-UCONN-S19,2019,SL18-LD-1-FG2xSA18-CB-4-MG3,2019,,SL19-UCONN-S182,2020,SL18-LD-13-FG2xSA18-CB-7-MG1,#N/A
SL18-UCONN-S190,2019,SL18-SF-17-FG1xSL18-LL-9-MG1,2019,,SL19-UCONN-S186,2020,SL18-CC-12-FG3xSL18-OI-15-MG3,#N/A
SL18-UCONN-S192,2019,SL18-SF-17-FG3xSA18-CB-10-MG1,2019,,SL19-UCONN-S189,2020,SL18-CC-11-FG3xSL18-NC-2-MG3,#N/A
SL18-UCONN-S193,2019,SL18-SF-17-FG3xSA18-CB-3-MG3,2019,,SL19-UCONN-S190,2020,SL18-CC-12-FG2xSL18-OI-15-MG2,#N/A
SL18-UCONN-S195,2019,SL18-SF-17-FG3xSL18-NL-10-MG2,2019,,SL19-UCONN-S191,2020,SL18-SF-17-FG2xSA18-CB-1-MG13,#N/A
SL18-UCONN-S196,2019,SL18-SF-17-FG3xSL18-NL-2-MG3,2019,,SL19-UCONN-S2,2020,SL18-SF-17-FG2xSL18-OI-4-MG3,#N/A
SL18-UCONN-S197,2019,SL18-SF-17-FG3xSL18-NL-9-MG1,2019,,SL19-UCONN-S20,2020,SL18-NC-10-FG3xSL18-NL-5-MG2,#N/A
SL18-UCONN-S198,2019,SL18-SF-17-FG3xSL18-OI-7-MG1,2019,,SL19-UCONN-S201,2020,SL18-CC-8-FG2xSL18-LD-9-MG1,#N/A
SL18-UCONN-S199,2019,SL18-SF-17-FG3xSL18-OI-9-MG3,2019,,SL19-UCONN-S205,2020,SL18-NL-3-FG3xSL18-NC-9-MG2,#N/A
SL18-UCONN-S2,2019,SA18-CB-10-FG2xSL18-LL-9-MG1,2019,,SL19-UCONN-S206,2020,SL18-OI-6-FG3xSL18-CC-11-MG5,#N/A
SL18-UCONN-S20,2019,SL18-LD-1-FG2xSL18-SF-13-MG3,2019,,SL19-UCONN-S207,2020,SL18-CC-8-FG1xSL18-OI-7-MG1,#N/A
SL18-UCONN-S21,2019,SL18-LD-1-FG2xSL18-SF-15-MG1,2019,,SL19-UCONN-S208,2020,SL18-JS-5-FG1xSL18-OI-14-MG1,#N/A
SL18-UCONN-S23,2019,SL18-LD-1-FG3xSL18-NL-5-MG1,2019,,SL19-UCONN-S213,2020,SL18-SF-17-FG2xSA18-CB-7-MG2,#N/A
SL18-UCONN-S24,2019,SL18-LD-1-FG3xSL18-OI-11-MG2,2019,,SL19-UCONN-S215,2020,SL18-CC-9-FG3xSL18-JS-9-MG3,#N/A
SL18-UCONN-S25,2019,SL18-LD-1-FG3xSL18-OI-15-MG1,2019,,SL19-UCONN-S219,2020,SL18-CC-5-FG2xSL18-NC-10-MG2,#N/A
SL18-UCONN-S26,2019,SL18-LD-1-FG3xSL18-OI-16-MG1,2019,,SL19-UCONN-S220,2020,SL18-OI-11-FG3xSL18-NC-2-MG1,#N/A
SL18-UCONN-S27,2019,SL18-LD-1-FG3xSL18-OI-6-MG2,2019,,SL19-UCONN-S221,2020,SL18-NC-9-FG2xSL18-JS-11-MG3,#N/A
SL18-UCONN-S28,2019,SL18-LD-1-FG3xSL18-OI-7-MG1,2019,,SL19-UCONN-S224,2020,SL18-LD-9-FG4xSL18-OI-6-MG2,#N/A
SL18-UCONN-S29,2019,SL18-LD-1-FG3xSL18-OI-9-MG3,2019,,SL19-UCONN-S226,2020,SL18-CC-3-FG2xSL18-OI-11-MG3,#N/A
SL18-UCONN-S3,2019,SA18-CB-4-FG3xSA18-CB-4-MG3,2019,,SL19-UCONN-S228,2020,SL18-OI-9-FG4xSA18-CB-1-MG12,#N/A
SL18-UCONN-S30,2019,SL18-LD-1-FG3xSL18-NL-9-MG2,2019,,SL19-UCONN-S23,2020,SL18-CC-3-FG2xSA18-CB-4-MG2,#N/A
SL18-UCONN-S31,2019,SL18-LD-1-FG3xSL18-OI-15-MG2,2019,,SL19-UCONN-S232,2020,SL18-NC-5-FG2xSL18-JS-11-MG3,#N/A
SL18-UCONN-S32,2019,SL18-LD-2-FG2xSA18-CB-3-MG3,2019,,SL19-UCONN-S233,2020,SL18-CC-8-FG1xSL18-OI-18-MG3,#N/A
SL18-UCONN-S33,2019,SL18-LD-2-FG2xSL18-LL-9-MG2,2019,,SL19-UCONN-S235,2020,SL18-CC-6-FG3xSL18-JS-9-MG2,#N/A
SL18-UCONN-S34,2019,SL18-LD-2-FG2xSL18-NL-9-MG1,2019,,SL19-UCONN-S24,2020,SL18-NL-7-FG4xSA18-CB-1-MG12,#N/A
SL18-UCONN-S35,2019,SL18-LD-2-FG2xSL18-SF-19-MG1,2019,,SL19-UCONN-S240,2020,SL18-CC-1-FG1xSL18-NC-15-MG3,#N/A
SL18-UCONN-S37,2019,SL18-LD-3-FG1xSL18-NL-9-MG1,2019,,SL19-UCONN-S244,2020,SL18-CC-1-FG1xSL18-CC-4-MG11,#N/A
SL18-UCONN-S38,2019,SL18-LD-3-FG1xSL18-SF-19-MG2,2019,,SL19-UCONN-S246,2020,SL18-CC-5-FG2xSL18-NC-9-MG2,#N/A
SL18-UCONN-S39,2019,SL18-LD-3-FG2xSA18-CB-2-MG3,2019,,SL19-UCONN-S248,2020,SA18-CB-9-FG1xSL18-JS-19-MG1,#N/A
SL18-UCONN-S40,2019,SL18-LD-3-FG2xSL18-LL-9-MG2,2019,,SL19-UCONN-S249,2020,SL18-NL-3-FG1xSL18-OD-3-MG1,#N/A
SL18-UCONN-S41,2019,SL18-LD-3-FG2xSL18-SF-17-MG3,2019,,SL19-UCONN-S25,2020,SL18-CC-5-FG3xSA18-CB-1-MG12,#N/A
SL18-UCONN-S43,2019,SL18-LD-4-FG1xSA18-CB-2-MG1,2019,,SL19-UCONN-S250,2020,SL18-CC-8-FG2xSL18-NC-5-MG3,#N/A
SL18-UCONN-S44,2019,SL18-LD-4-FG1xSL18-NL-3-MG2,2019,,SL19-UCONN-S255,2020,SL18-CC-6-FG3xSL18-OI-14-MG2,#N/A
SL18-UCONN-S45,2019,SL18-LD-4-FG2xSL18-LL-9-MG1,2019,,SL19-UCONN-S258,2020,SL18-NC-12-FG2xSA18-CB-3-MG1,#N/A
SL18-UCONN-S46,2019,SL18-LD-4-FG2xSL18-SF-15-MG2,2019,,SL19-UCONN-S259,2020,SL18-CC-3-FG3xSL18-OD-6-MG3,#N/A
SL18-UCONN-S47,2019,SL18-LD-4-FG3xSL18-SF-17-MG1,2019,,SL19-UCONN-S26,2020,SL18-CC-6-FG2xSL18-OI-14-MG1,#N/A
SL18-UCONN-S48,2019,SL18-LD-5-FG1xSA18-CB-10-MG1,2019,,SL19-UCONN-S260,2020,SL18-JS-19-FG3xSA18-CB-3-MG2,#N/A
SL18-UCONN-S51,2019,SL18-LD-9-FG2xSL18-SF-13-MG3,2019,,SL19-UCONN-S261,2020,SL18-NC-12-FG2xSL18-NL-5-MG2,#N/A
SL18-UCONN-S53,2019,SL18-LD-9-FG3xSL18-NL-7-MG1,2019,,SL19-UCONN-S263,2020,SL18-JS-5-FG1xSA18-CB-1-MG12,#N/A
SL18-UCONN-S54,2019,SL18-LD-9-FG3xSL18-SF-17-MG1,2019,,SL19-UCONN-S264,2020,SL18-JS-16-FG3xSA18-CB-4-MG3,#N/A
SL18-UCONN-S56,2019,SL18-LL-9-FG3xSL18-NL-9-MG1,2019,,SL19-UCONN-S265,2020,SL18-OI-4-FG2xSA18-CB-7-MG2,#N/A
SL18-UCONN-S57,2019,SL18-NL-10-FG1xSA18-CB-4-MG3,2019,,SL19-UCONN-S268,2020,SL18-NC-1-FG1xSL18-NC-12-MG3,#N/A
SL18-UCONN-S58,2019,SL18-NL-10-FG1xSL18-LD-2-MG1,2019,,SL19-UCONN-S271,2020,SL18-NC-15-FG3xSL18-CC-1-MG2,#N/A
SL18-UCONN-S6,2019,SL18-LD-10-FG1xSA18-CB-1-MG2,2019,,SL19-UCONN-S272,2020,SL18-SF-17-FG2xSL18-NC-12-MG1,#N/A
SL18-UCONN-S60,2019,SL18-NL-10-FG1xSL18-OI-15-MG1,2019,,SL19-UCONN-S275,2020,SL18-NL-3-FG1xSA18-CB-7-MG2,2019
SL18-UCONN-S62,2019,SL18-NL-10-FG1xSL18-OI-7-MG1,2019,,SL19-UCONN-S277,2020,SL18-LL-9-FG2xSA18-CB-5-MG3,#N/A
SL18-UCONN-S63,2019,SL18-NL-10-FG1xSL18-SF-13-MG1,2019,,SL19-UCONN-S283,2020,SL18-CC-3-FG1xSL18-JS-11-MG2,#N/A
SL18-UCONN-S72,2019,SL18-NL-10-FG3xSL18-NL-3-MG2,2019,,SL19-UCONN-S290,2020,SA18-CB-5-FG6xSL18-CC-6-MG2,#N/A
SL18-UCONN-S73,2019,SL18-NL-2-FG1xSA18-CB-1-MG2,2019,,SL19-UCONN-S294,2020,SL18-BL-11-FG2xSL18-PI-1-MG3,#N/A
SL18-UCONN-S75,2019,SL18-NL-2-FG1xSL18-LD-13-MG2,2019,,SL19-UCONN-S30,2020,SL18-JS-19-FG3xSL18-OI-17-MG1,#N/A
SL18-UCONN-S77,2019,SL18-NL-2-FG3xSA18-CB-2-MG3,2019,,SL19-UCONN-S304,2020,SL18-BL-17-FG3xSL18-FW-21-MG2,#N/A
SL18-UCONN-S78,2019,SL18-NL-2-FG3xSA18-CB-4-MG1,2019,,SL19-UCONN-S314,2020,SL18-TI-4-FG3xSL18-PI-1-MG1,#N/A
SL18-UCONN-S79,2019,SL18-NL-2-FG3xSL18-LD-3-MG2,2019,,SL19-UCONN-S316,2020,SL18-FW-14-FG11xSL18-BL-10-MG1,#N/A
SL18-UCONN-S80,2019,SL18-NL-2-FG3xSL18-OI-16-MG1,2019,,SL19-UCONN-S319,2020,SL18-BL-14-FG3xSL18-BL-12-MG1,#N/A
SL18-UCONN-S84,2019,SL18-NL-3-FG1xSL18-OI-11-MG2,2019,,SL19-UCONN-S322,2020,SL18-TI-1-FG4xSL18-PI-1-MG3,#N/A
SL18-UCONN-S85,2019,SL18-NL-3-FG1xSL18-SF-13-MG2,2019,,SL19-UCONN-S326,2020,SL18-FI-1-FG13xSL18-BL-17-MG3,#N/A
SL18-UCONN-S88,2019,SL18-NL-3-FG3xSA18-CB-2-MG2,2019,,SL19-UCONN-S327,2020,SL18-FW-12-FG10xSL18-PI-1-MG11,#N/A
SL18-UCONN-S9,2019,SL18-LD-10-FG1xSL18-OI-18-MG1,2019,,SL19-UCONN-S330,2020,SL18-BL-14-FG3xSL18-TI-4-MG1,#N/A
SL18-UCONN-S95,2019,SL18-NL-6-FG1xSA18-CB-7-MG2,2019,,SL19-UCONN-S34,2020,SL18-OI-17-FG4xSL18-CC-7-MG1,#N/A
SL18-UCONN-S96,2019,SL18-NL-6-FG1xSL18-LD-1-MG2,2019,,SL19-UCONN-S341,2020,SL18-PI-1-FG3xSL18-TI-4-MG2,#N/A
SL18-UCONN-S97,2019,SL18-NL-6-FG1xSL18-LD-2-MG1,2019,,SL19-UCONN-S342,2020,SL18-FI-1-FG12xSL18-PI-1-MG11,#N/A
SL18-UCONN-S98,2019,SL18-NL-6-FG1xSL18-LD-3-MG2,2019,,SL19-UCONN-S347,2020,SL18-BL-17-FG2xSL18-FW-2-MG5,#N/A
SL18-UCONN-S99,2019,SL18-NL-6-FG1xSL18-NL-2-MG1,2019,,SL19-UCONN-S348,2020,SL18-TI-4-FG2xSL18-PI-1-MG2,#N/A
,,,,,SL19-UCONN-S35,2020,SL18-OI-17-FG1xSL18-OI-4-MG1,#N/A
,,,,,SL19-UCONN-S352,2020,SL18-FI-1-FG12xSL18-FW-12-MG10,#N/A
,,,,,SL19-UCONN-S354,2020,SL18-TI-2-FG5xSL18-BL-17-MG2,#N/A
,,,,,SL19-UCONN-S355,2020,SL18-PI-1-FG1xSL18-BL-12-MG2,#N/A
,,,,,SL19-UCONN-S356,2020,SL18-FI-2-FG4xSL18-TI-2-MG11,#N/A
,,,,,SL19-UCONN-S357,2020,SL18-FW-14-FG2xSL18-BL-12-MG3,#N/A
,,,,,SL19-UCONN-S359,2020,SL18-BL-17-FG3xSL18-FW-2-MG2,#N/A
,,,,,SL19-UCONN-S361,2020,SL18-FI-2-FG10xSL18-TI-3-MG1,#N/A
,,,,,SL19-UCONN-S362,2020,SL18-FW-12-FG10xSL18-PI-1-MG3,#N/A
,,,,,SL19-UCONN-S370,2020,SL18-TI-1-FG4xSL18-PI-1-MG1,#N/A
,,,,,SL19-UCONN-S42,2020,SL18-CC-6-FG2xSL18-OI-11-MG4,#N/A
,,,,,SL19-UCONN-S43,2020,SL18-JS-9-FG3xSA18-CB-10-MG1,#N/A
,,,,,SL19-UCONN-S44,2020,SL18-OI-6-FG3xSL18-JS-6-MG1,#N/A
,,,,,SL19-UCONN-S45,2020,SL18-SF-13-FG2xSL18-JS-11-MG3,#N/A
,,,,,SL19-UCONN-S46,2020,SL18-JS-19-FG3xSL18-LD-13-MG3,#N/A
,,,,,SL19-UCONN-S56,2020,SA18-CB-9-FG1xSL18-OI-7-MG3,#N/A
,,,,,SL19-UCONN-S57,2020,SL18-CC-3-FG1xSL18-OI-16-MG2,#N/A
,,,,,SL19-UCONN-S58,2020,SL18-CC-8-FG1xSL18-NC-8-MG2,#N/A
,,,,,SL19-UCONN-S66,2020,SL18-SF-13-FG2xSL18-JS-9-MG2,#N/A
,,,,,SL19-UCONN-S67,2020,SL18-JS-19-FG2xSA18-CB-10-MG3,#N/A
,,,,,SL19-UCONN-S68,2020,SL18-CC-6-FG1xSL18-JS-5-MG2,#N/A
,,,,,SL19-UCONN-S77,2020,SL18-CC-12-FG2xSL18-LL-9-MG4,#N/A
,,,,,SL19-UCONN-S78,2020,SL18-NL-3-FG1xSL18-OI-7-MG3,#N/A
,,,,,SL19-UCONN-S85,2020,SL18-NL-5-FG1xSL18-OI-14-MG1,#N/A
,,,,,SL19-UCONN-S87,2020,SL18-NC-8-FG1xSL18-NL-7-MG2,#N/A
,,,,,SL19-UCONN-S88,2020,SL18-JS-5-FG2xSL18-OI-5-MG3,#N/A
,,,,,SL19-UCONN-S90,2020,SL18-CC-10-FG4xSL18-NC-2-MG2,#N/A
,,,,,SL19-UCONN-S91,2020,SL18-NC-5-FG3xSL18-OI-2-MG2,#N/A
,,,,,SL19-UCONN-S93,2020,SL18-CC-1-FG2xSL18-NC-11-MG2,#N/A
,,,,,SL19-UCONN-S95,2020,SL18-CC-12-FG3xSL18-NC-11-MG2,#N/A
,,,,,SL19-UCONN-S96,2020,SA18-CB-7-FG1xSL18-LD-1-MG1,#N/A
,,,,,SL19-UCONN-S99,2020,SL18-NC-10-FG3xSA18-CB-3-MG2,#N/A
