Indiv Sire Dam Sex Breed
SIM_13 NA NA female Fleckvieh
SIM_14 NA NA female Fleckvieh
SIM_15 NA NA female Fleckvieh
SIM_16 NA NA female Fleckvieh
SIM_17 NA NA female Fleckvieh
SIM_18 NA NA female Fleckvieh
SIM_19 NA NA female Fleckvieh
SIM_20 NA NA female Fleckvieh
SIM_21 NA NA female Fleckvieh
SIM_22 NA NA female Fleckvieh
SIM_23 NA NA female Fleckvieh
SIM_24 NA NA female Fleckvieh
SIM_25 NA NA female Fleckvieh
SIM_26 NA NA female Fleckvieh
SIM_27 NA NA female Fleckvieh
SIM_28 NA NA female Fleckvieh
SIM_29 NA NA female Fleckvieh
SIM_30 NA NA female Fleckvieh
SIM_31 NA NA female Fleckvieh
SIM_32 NA NA female Fleckvieh
SIM_33 NA NA female Fleckvieh
SIM_34 NA NA female Fleckvieh
SIM_35 NA NA female Fleckvieh
SIM_36 NA NA female Fleckvieh
SIM_37 NA NA female Fleckvieh
SIM_38 NA NA female Fleckvieh
SIM_39 NA NA female Fleckvieh
SIM_40 NA NA female Fleckvieh
SIM_41 NA NA female Fleckvieh
SIM_42 NA NA female Fleckvieh
SIM_43 NA NA female Fleckvieh
SIM_44 NA NA female Fleckvieh
SIM_45 NA NA female Fleckvieh
SIM_46 NA NA female Fleckvieh
SIM_47 NA NA female Fleckvieh
SIM_48 NA NA female Fleckvieh
SIM_49 NA NA female Fleckvieh
SIM_50 NA NA female Fleckvieh
SIM_51 NA NA female Fleckvieh
SIM_52 NA NA female Fleckvieh
SIM_53 NA NA female Fleckvieh
SIM_54 NA NA female Fleckvieh
SIM_55 NA NA female Fleckvieh
SIM_56 NA NA female Fleckvieh
SIM_57 NA NA female Fleckvieh
SIM_58 NA NA female Fleckvieh
SIM_59 NA NA female Fleckvieh
SIM_60 NA NA female Fleckvieh
SIM_61 NA NA female Fleckvieh
SIM_62 NA NA female Fleckvieh
SIM_63 NA NA female Fleckvieh
SIM_64 NA NA female Fleckvieh
SIM_65 NA NA female Fleckvieh
SIM_66 NA NA female Fleckvieh
SIM_67 NA NA female Fleckvieh
SIM_68 NA NA female Fleckvieh
SIM_69 NA NA female Fleckvieh
SIM_70 NA NA female Fleckvieh
SIM_71 NA NA female Fleckvieh
SIM_72 NA NA female Fleckvieh
SIM_73 NA NA female Fleckvieh
SIM_74 NA NA female Fleckvieh
SIM_75 NA NA female Fleckvieh
SIM_76 NA NA female Fleckvieh
SIM_77 NA NA female Fleckvieh
SIM_78 NA NA female Fleckvieh
SIM_79 NA NA female Fleckvieh
SIM_80 NA NA female Fleckvieh
SIM_81 NA NA female Fleckvieh
SIM_82 NA NA female Fleckvieh
SIM_83 NA NA female Fleckvieh
SIM_84 NA NA female Fleckvieh
SIM_85 NA NA female Fleckvieh
SIM_86 NA NA female Fleckvieh
SIM_87 NA NA female Fleckvieh
SIM_88 NA NA female Fleckvieh
SIM_89 NA NA female Fleckvieh
SIM_90 NA NA female Fleckvieh
SIM_91 NA NA female Fleckvieh
SIM_92 NA NA female Fleckvieh
SIM_93 NA NA female Fleckvieh
SIM_94 NA NA female Fleckvieh
SIM_95 NA NA female Fleckvieh
SIM_96 NA NA female Fleckvieh
SIM_97 NA NA female Fleckvieh
SIM_98 NA NA female Fleckvieh
SIM_99 NA NA female Fleckvieh
SIM_100 NA NA female Fleckvieh
SIM_101 NA NA female Fleckvieh
SIM_102 NA NA female Fleckvieh
SIM_103 NA NA female Fleckvieh
SIM_104 NA NA female Fleckvieh
SIM_105 NA NA female Fleckvieh
SIM_106 NA NA female Fleckvieh
SIM_107 NA NA female Fleckvieh
SIM_108 NA NA female Fleckvieh
SIM_109 NA NA female Fleckvieh
SIM_110 NA NA female Fleckvieh
SIM_111 NA NA female Fleckvieh
SIM_112 NA NA female Fleckvieh
SIM_113 NA NA female Fleckvieh
SIM_114 NA NA female Fleckvieh
SIM_115 NA NA female Fleckvieh
SIM_116 NA NA female Fleckvieh
SIM_117 NA NA female Fleckvieh
SIM_118 NA NA female Fleckvieh
SIM_119 NA NA female Fleckvieh
SIM_120 NA NA female Fleckvieh
SIM_121 NA NA female Fleckvieh
SIM_122 NA NA female Fleckvieh
SIM_123 NA NA female Fleckvieh
SIM_124 NA NA female Fleckvieh
SIM_125 NA NA female Fleckvieh
SIM_126 NA NA female Fleckvieh
SIM_127 NA NA female Fleckvieh
SIM_128 NA NA female Fleckvieh
SIM_129 NA NA female Fleckvieh
SIM_130 NA NA female Fleckvieh
SIM_131 NA NA female Fleckvieh
SIM_132 NA NA female Fleckvieh
SIM_133 NA NA female Fleckvieh
SIM_134 NA NA female Fleckvieh
SIM_135 NA NA female Fleckvieh
SIM_136 NA NA female Fleckvieh
SIM_137 NA NA female Fleckvieh
SIM_138 NA NA female Fleckvieh
SIM_139 NA NA female Fleckvieh
SIM_140 NA NA female Fleckvieh
SIM_141 NA NA female Fleckvieh
SIM_142 NA NA female Fleckvieh
SIM_143 NA NA female Fleckvieh
SIM_144 NA NA female Fleckvieh
SIM_145 NA NA female Fleckvieh
SIM_146 NA NA female Fleckvieh
SIM_147 NA NA female Fleckvieh
SIM_148 NA NA female Fleckvieh
SIM_149 NA NA female Fleckvieh
SIM_150 NA NA female Fleckvieh
SIM_151 NA NA female Fleckvieh
SIM_152 NA NA female Fleckvieh
SIM_153 NA NA female Fleckvieh
SIM_154 NA NA female Fleckvieh
SIM_155 NA NA female Fleckvieh
SIM_156 NA NA female Fleckvieh
SIM_157 NA NA female Fleckvieh
SIM_158 NA NA female Fleckvieh
SIM_159 NA NA female Fleckvieh
SIM_160 NA NA female Fleckvieh
SIM_161 NA NA female Fleckvieh
SIM_162 NA NA female Fleckvieh
SIM_163 NA NA female Fleckvieh
SIM_164 NA NA female Fleckvieh
SIM_165 NA NA female Fleckvieh
SIM_166 NA NA female Fleckvieh
SIM_167 NA NA female Fleckvieh
SIM_168 NA NA female Fleckvieh
SIM_169 NA NA female Fleckvieh
SIM_170 NA NA female Fleckvieh
SIM_171 NA NA female Fleckvieh
SIM_172 NA NA female Fleckvieh
SIM_173 NA NA female Fleckvieh
SIM_174 NA NA female Fleckvieh
SIM_175 NA NA female Fleckvieh
SIM_176 NA NA female Fleckvieh
SIM_177 NA NA female Fleckvieh
SIM_178 NA NA female Fleckvieh
SIM_179 NA NA female Fleckvieh
SIM_180 NA NA female Fleckvieh
SIM_181 NA NA female Fleckvieh
SIM_182 NA NA female Fleckvieh
SIM_183 NA NA female Fleckvieh
SIM_184 NA NA female Fleckvieh
SIM_185 NA NA female Fleckvieh
SIM_186 NA NA female Fleckvieh
SIM_187 NA NA female Fleckvieh
SIM_188 NA NA female Fleckvieh
SIM_189 NA NA female Fleckvieh
SIM_190 NA NA female Fleckvieh
SIM_191 NA NA female Fleckvieh
SIM_192 NA NA female Fleckvieh
SIM_193 NA NA female Fleckvieh
SIM_194 NA NA female Fleckvieh
SIM_195 NA NA female Fleckvieh
SIM_196 NA NA female Fleckvieh
SIM_197 NA NA female Fleckvieh
SIM_198 NA NA female Fleckvieh
SIM_199 NA NA female Fleckvieh
SIM_200 NA NA female Fleckvieh
RBT_1 NA NA male Rotbunt
RBT_2 NA NA male Rotbunt
RBT_3 NA NA male Rotbunt
RBT_4 NA NA male Rotbunt
RBT_5 NA NA male Rotbunt
RBT_6 NA NA male Rotbunt
RBT_7 NA NA male Rotbunt
RBT_8 NA NA male Rotbunt
RBT_9 NA NA male Rotbunt
RBT_10 NA NA male Rotbunt
RBT_11 NA NA male Rotbunt
RBT_12 NA NA male Rotbunt
RBT_13 NA NA male Rotbunt
RBT_14 NA NA male Rotbunt
RBT_15 NA NA male Rotbunt
RBT_16 NA NA male Rotbunt
RBT_17 NA NA male Rotbunt
RBT_18 NA NA male Rotbunt
RBT_19 NA NA male Rotbunt
RBT_20 NA NA male Rotbunt
RBT_21 NA NA male Rotbunt
RBT_22 NA NA male Rotbunt
RBT_23 NA NA male Rotbunt
RBT_24 NA NA male Rotbunt
RBT_25 NA NA male Rotbunt
RBT_26 NA NA male Rotbunt
RBT_27 NA NA male Rotbunt
RBT_28 NA NA male Rotbunt
RBT_29 NA NA male Rotbunt
RBT_30 NA NA female Rotbunt
RBT_31 NA NA female Rotbunt
RBT_32 NA NA female Rotbunt
RBT_33 NA NA female Rotbunt
RBT_34 NA NA female Rotbunt
RBT_35 NA NA female Rotbunt
RBT_36 NA NA female Rotbunt
RBT_37 NA NA female Rotbunt
RBT_38 NA NA female Rotbunt
RBT_39 NA NA female Rotbunt
RBT_40 NA NA female Rotbunt
RBT_41 NA NA female Rotbunt
RBT_42 NA NA female Rotbunt
RBT_43 NA NA female Rotbunt
RBT_44 NA NA female Rotbunt
RBT_45 NA NA female Rotbunt
RBT_46 NA NA female Rotbunt
RBT_47 NA NA female Rotbunt
RBT_48 NA NA female Rotbunt
RBT_49 NA NA female Rotbunt
RBT_50 NA NA female Rotbunt
RBT_51 NA NA female Rotbunt
RBT_52 NA NA female Rotbunt
RBT_53 NA NA female Rotbunt
RBT_54 NA NA female Rotbunt
RBT_55 NA NA female Rotbunt
RBT_56 NA NA female Rotbunt
RBT_57 NA NA female Rotbunt
RBT_58 NA NA female Rotbunt
RBT_59 NA NA female Rotbunt
RBT_60 NA NA female Rotbunt
RBT_61 NA NA female Rotbunt
RBT_62 NA NA female Rotbunt
RBT_63 NA NA female Rotbunt
RBT_64 NA NA female Rotbunt
RBT_65 NA NA female Rotbunt
RBT_66 NA NA female Rotbunt
RBT_67 NA NA female Rotbunt
RBT_68 NA NA female Rotbunt
RBT_69 NA NA female Rotbunt
RBT_70 NA NA female Rotbunt
RBT_71 NA NA female Rotbunt
RBT_72 NA NA female Rotbunt
RBT_73 NA NA female Rotbunt
RBT_74 NA NA female Rotbunt
RBT_75 NA NA female Rotbunt
RBT_76 NA NA female Rotbunt
RBT_77 NA NA female Rotbunt
RBT_78 NA NA female Rotbunt
RBT_79 NA NA female Rotbunt
RBT_80 NA NA female Rotbunt
RBT_81 NA NA female Rotbunt
RBT_82 NA NA female Rotbunt
RBT_83 NA NA female Rotbunt
RBT_84 NA NA female Rotbunt
RBT_85 NA NA female Rotbunt
RBT_86 NA NA female Rotbunt
RBT_87 NA NA female Rotbunt
RBT_88 NA NA female Rotbunt
RBT_89 NA NA female Rotbunt
RBT_90 NA NA female Rotbunt
RBT_91 NA NA female Rotbunt
RBT_92 NA NA female Rotbunt
RBT_93 NA NA female Rotbunt
RBT_94 NA NA female Rotbunt
RBT_95 NA NA female Rotbunt
RBT_96 NA NA female Rotbunt
RBT_97 NA NA female Rotbunt
RBT_98 NA NA female Rotbunt
RBT_99 NA NA female Rotbunt
RBT_100 NA NA female Rotbunt
RBT_101 NA NA female Rotbunt
RBT_102 NA NA female Rotbunt
RBT_103 NA NA female Rotbunt
RBT_104 NA NA female Rotbunt
RBT_105 NA NA female Rotbunt
RBT_106 NA NA female Rotbunt
RBT_107 NA NA female Rotbunt
RBT_108 NA NA female Rotbunt
RBT_109 NA NA female Rotbunt
RBT_110 NA NA female Rotbunt
RBT_111 NA NA female Rotbunt
RBT_112 NA NA female Rotbunt
RBT_113 NA NA female Rotbunt
RBT_114 NA NA female Rotbunt
RBT_115 NA NA female Rotbunt
RBT_116 NA NA female Rotbunt
RBT_117 NA NA female Rotbunt
RBT_118 NA NA female Rotbunt
RBT_119 NA NA female Rotbunt
RBT_120 NA NA female Rotbunt
RBT_121 NA NA female Rotbunt
RBT_122 NA NA female Rotbunt
RBT_123 NA NA female Rotbunt
RBT_124 NA NA female Rotbunt
RBT_125 NA NA female Rotbunt
RBT_126 NA NA female Rotbunt
RBT_127 NA NA female Rotbunt
RBT_128 NA NA female Rotbunt
RBT_129 NA NA female Rotbunt
RBT_130 NA NA female Rotbunt
RBT_131 NA NA female Rotbunt
RBT_132 NA NA female Rotbunt
RBT_133 NA NA female Rotbunt
RBT_134 NA NA female Rotbunt
RBT_135 NA NA female Rotbunt
RBT_136 NA NA female Rotbunt
RBT_137 NA NA female Rotbunt
RBT_138 NA NA female Rotbunt
RBT_139 NA NA female Rotbunt
RBT_140 NA NA female Rotbunt
RBT_141 NA NA female Rotbunt
RBT_142 NA NA female Rotbunt
RBT_143 NA NA female Rotbunt
RBT_144 NA NA female Rotbunt
RBT_145 NA NA female Rotbunt
RBT_146 NA NA female Rotbunt
RBT_147 NA NA female Rotbunt
RBT_148 NA NA female Rotbunt
RBT_149 NA NA female Rotbunt
RBT_150 NA NA female Rotbunt
RBT_151 NA NA female Rotbunt
RBT_152 NA NA female Rotbunt
RBT_153 NA NA female Rotbunt
RBT_154 NA NA female Rotbunt
RBT_155 NA NA female Rotbunt
RBT_156 NA NA female Rotbunt
RBT_157 NA NA female Rotbunt
RBT_158 NA NA female Rotbunt
RBT_159 NA NA female Rotbunt
RBT_160 NA NA female Rotbunt
RBT_161 NA NA female Rotbunt
RBT_162 NA NA female Rotbunt
RBT_163 NA NA female Rotbunt
RBT_164 NA NA female Rotbunt
RBT_165 NA NA female Rotbunt
RBT_166 NA NA female Rotbunt
RBT_167 NA NA female Rotbunt
RBT_168 NA NA female Rotbunt
RBT_169 NA NA female Rotbunt
RBT_170 NA NA female Rotbunt
RBT_171 NA NA female Rotbunt
RBT_172 NA NA female Rotbunt
RBT_173 NA NA female Rotbunt
RBT_174 NA NA female Rotbunt
RBT_175 NA NA female Rotbunt
RBT_176 NA NA female Rotbunt
RBT_177 NA NA female Rotbunt
RBT_178 NA NA female Rotbunt
RBT_179 NA NA female Rotbunt
RBT_180 NA NA female Rotbunt
RBT_181 NA NA female Rotbunt
RBT_182 NA NA female Rotbunt
RBT_183 NA NA female Rotbunt
RBT_184 NA NA female Rotbunt
RBT_185 NA NA female Rotbunt
RBT_186 NA NA female Rotbunt
RBT_187 NA NA female Rotbunt
RBT_188 NA NA female Rotbunt
RBT_189 NA NA female Rotbunt
RBT_190 NA NA female Rotbunt
RBT_191 NA NA female Rotbunt
RBT_192 NA NA female Rotbunt
RBT_193 NA NA female Rotbunt
RBT_194 NA NA female Rotbunt
RBT_195 NA NA female Rotbunt
RBT_196 NA NA female Rotbunt
RBT_197 NA NA female Rotbunt
RBT_198 NA NA female Rotbunt
RBT_199 NA NA female Rotbunt
RBT_200 NA NA female Rotbunt
NRC_1 NA NA NA NRC
NRC_2 NA NA NA NRC
NRC_3 NA NA NA NRC
NRC_4 NA NA NA NRC
NRC_5 NA NA NA NRC
NRC_6 NA NA NA NRC
NRC_7 NA NA NA NRC
NRC_8 NA NA NA NRC
NRC_9 NA NA NA NRC
NRC_10 NA NA NA NRC
NRC_11 NA NA NA NRC
NRC_12 NA NA NA NRC
NRC_13 NA NA NA NRC
NRC_14 NA NA NA NRC
NRC_15 NA NA NA NRC
NRC_16 NA NA NA NRC
NRC_17 NA NA NA NRC
NRC_18 NA NA NA NRC
NRC_19 NA NA NA NRC
NRC_20 NA NA NA NRC
NRC_21 NA NA NA NRC
