"","Indiv","Sire","Dam","Sex","Breed","Born","I","Offspring"
"96","animal106",NA,NA,"female","Holstein",NA,NA,TRUE
"97","animal107",NA,NA,"female","Angler",NA,NA,TRUE
"98","animal108",NA,NA,"female","Angler",NA,NA,TRUE
"99","animal109",NA,NA,"female","Rbt",NA,NA,TRUE
"100","animal110",NA,NA,"female","Angler",NA,NA,TRUE
"101","animal111",NA,NA,"male","Angler",NA,NA,TRUE
"102","animal112",NA,NA,"female","Angler",NA,NA,TRUE
"103","animal113",NA,NA,"female","Holstein",NA,NA,TRUE
"104","animal114",NA,NA,"female","Dt.Sbt.Niederungsrind",NA,NA,TRUE
"105","animal115",NA,NA,"female","Holstein",NA,NA,TRUE
"106","animal116",NA,NA,"female","Holstein",NA,NA,TRUE
"107","animal117",NA,NA,"female","Ayrshire",NA,NA,TRUE
"108","animal118",NA,NA,"female","Holstein",NA,NA,TRUE
"109","animal119",NA,NA,"female","Holstein",NA,NA,TRUE
"110","animal120",NA,NA,"male","Angler",NA,NA,TRUE
"111","animal121",NA,NA,"female","Holstein",NA,NA,TRUE
"112","animal122",NA,NA,"female","Holstein",NA,NA,TRUE
"113","animal123",NA,NA,"female","Angler",NA,NA,TRUE
"114","animal124",NA,NA,"female","Holstein",NA,NA,TRUE
"115","animal125",NA,NA,"female","Holstein",NA,NA,TRUE
"116","animal126",NA,NA,"male","Holstein",NA,NA,TRUE
"117","animal127",NA,NA,"female","Angler",NA,NA,TRUE
"118","animal128",NA,NA,"male","Holstein",NA,NA,TRUE
"119","animal129",NA,NA,"male","Holstein",NA,NA,TRUE
"120","animal130",NA,NA,"female","Holstein",NA,NA,TRUE
"121","animal131",NA,NA,"male","Holstein",NA,NA,TRUE
"122","animal132",NA,NA,"male","Holstein",NA,NA,TRUE
"123","animal133",NA,NA,"female","Angler",NA,NA,TRUE
"124","animal134",NA,NA,"female","Angler",NA,NA,TRUE
"125","animal135",NA,NA,"female","Angler",NA,NA,TRUE
"126","animal136",NA,NA,"female","Holstein",NA,NA,TRUE
"127","animal137",NA,NA,"female","Angler",NA,NA,TRUE
"128","animal138",NA,NA,"female","Angler",NA,NA,TRUE
"129","animal139",NA,NA,"male","Sonstige",NA,NA,TRUE
"130","animal140",NA,NA,"female","Angler",NA,NA,TRUE
"131","animal141",NA,NA,"female","Angler",NA,NA,TRUE
"132","animal142",NA,NA,"female","Angler",NA,NA,TRUE
"133","animal143",NA,NA,"female","Angler",NA,NA,TRUE
"134","animal144",NA,NA,"female","Angler",NA,NA,TRUE
"135","animal145",NA,NA,"male","Sonstige",NA,NA,TRUE
"136","animal146",NA,NA,"female","Dt.Sbt.Niederungsrind",NA,NA,TRUE
"137","animal147",NA,NA,"female","Angler",NA,NA,TRUE
"138","animal148",NA,NA,"female","Holstein",NA,NA,TRUE
"139","animal149",NA,NA,"female","Ayrshire",NA,NA,TRUE
"140","animal150",NA,NA,"female","Holstein",NA,NA,TRUE
"141","animal151",NA,NA,"female","Holstein",NA,NA,TRUE
"142","animal152",NA,NA,"female","Angler",NA,NA,TRUE
"143","animal153",NA,NA,"female","Angler",NA,NA,TRUE
"144","animal154",NA,NA,"female","Angler",NA,NA,TRUE
"145","animal155",NA,NA,"female","Angler",NA,NA,TRUE
"146","animal156",NA,NA,"female","Holstein",1933,NA,TRUE
"147","animal157",NA,NA,"male","Holstein",1936,NA,TRUE
"148","animal158",NA,NA,"male","Rbt",1936,NA,TRUE
"149","animal159",NA,NA,"male","Dt.Sbt.Niederungsrind",1937,NA,TRUE
"150","animal160",NA,NA,"male","Holstein",1938,NA,TRUE
"151","animal161",NA,NA,"male","Holstein",1939,NA,TRUE
"152","animal162",NA,NA,"female","Angler",1939,NA,TRUE
"153","animal163",NA,NA,"female","Holstein",1939,NA,TRUE
"154","animal164",NA,NA,"female","Holstein",1940,NA,TRUE
"155","animal165",NA,NA,"female","Dt.Sbt.Niederungsrind",1940,NA,TRUE
"156","animal166",NA,NA,"male","Holstein",1940,NA,TRUE
"157","animal167",NA,NA,"male","Holstein",1940,NA,TRUE
"158","animal168",NA,NA,"male","Dt.Sbt.Niederungsrind",1940,NA,TRUE
"159","animal169",NA,NA,"male","Holstein",1941,NA,TRUE
"160","animal170",NA,NA,"female","Holstein",1941,NA,TRUE
"161","animal171",NA,NA,"female","Angler",1941,NA,TRUE
"162","animal172",NA,NA,"female","Holstein",1941,NA,TRUE
"163","animal173",NA,NA,"male","Holstein",1942,NA,TRUE
"164","animal174",NA,NA,"female","Holstein",1942,NA,TRUE
"165","animal175",NA,NA,"female","Holstein",1942,NA,TRUE
"166","animal176",NA,NA,"male","Holstein",1942,NA,TRUE
"167","animal177",NA,NA,"male","Holstein",1942,NA,TRUE
"168","animal178",NA,NA,"male","Holstein",1942,NA,TRUE
"169","animal179",NA,NA,"male","Dt.Sbt.Niederungsrind",1943,NA,TRUE
"170","animal180",NA,NA,"female","Holstein",1943,NA,TRUE
"171","animal181",NA,NA,"female","Dt.Sbt.Niederungsrind",1943,NA,TRUE
"172","animal182",NA,NA,"male","Holstein",1943,NA,TRUE
"173","animal183",NA,NA,"male","Holstein",1943,NA,TRUE
"174","animal184",NA,NA,"male","Dt.Sbt.Niederungsrind",1943,NA,TRUE
"175","animal185",NA,NA,"female","Pedigree-error",1943,NA,TRUE
"176","animal186",NA,NA,"male","Holstein",1943,NA,TRUE
"177","animal187",NA,NA,"female","Dt.Sbt.Niederungsrind",1944,NA,TRUE
"178","animal188",NA,NA,"male","Holstein",1944,NA,TRUE
"179","animal189",NA,NA,"female","Holstein",1944,NA,TRUE
"180","animal190",NA,NA,"male","Holstein",1944,NA,TRUE
"181","animal191",NA,NA,"male","Pedigree-error",1944,NA,TRUE
"182","animal192",NA,NA,"male","Pedigree-error",1944,NA,TRUE
"183","animal193",NA,NA,"female","Holstein",1944,NA,TRUE
"184","animal194",NA,NA,"male","Dt.Sbt.Niederungsrind",1944,NA,TRUE
"185","animal195",NA,NA,"male","Dt.Sbt.Niederungsrind",1945,NA,TRUE
"186","animal196",NA,NA,"female","Holstein",1945,NA,TRUE
"187","animal197",NA,NA,"female","Holstein",1945,NA,TRUE
"188","animal198",NA,NA,"female","Holstein",1945,NA,TRUE
"189","animal199",NA,NA,"male","Braunvieh",1945,NA,TRUE
"190","animal200",NA,NA,"male","Holstein",1945,NA,TRUE
"191","animal201",NA,NA,"female","Dt.Sbt.Niederungsrind",1945,NA,TRUE
"192","animal202",NA,NA,"female","Holstein",1945,NA,TRUE
"193","animal203",NA,NA,"male","Holstein",1945,NA,TRUE
"194","animal204",NA,NA,"male","Holstein",1945,NA,TRUE
"195","animal205",NA,NA,"female","Holstein",1945,NA,TRUE
"196","animal206",NA,NA,"female","Pedigree-error",1945,NA,TRUE
"197","animal207",NA,NA,"female","Braunvieh",1946,NA,TRUE
"198","animal208",NA,NA,"female","Holstein",1946,NA,TRUE
"199","animal209",NA,NA,"female","Holstein",1946,NA,TRUE
"200","animal210",NA,NA,"female","Dt.Sbt.Niederungsrind",1946,NA,TRUE
"201","animal211",NA,NA,"female","Dt.Sbt.Niederungsrind",1946,NA,TRUE
"202","animal212",NA,NA,"male","Holstein",1946,NA,TRUE
"203","animal213",NA,NA,"male","Holstein",1947,NA,TRUE
"204","animal214",NA,NA,"female","Holstein",1947,NA,TRUE
"205","animal215",NA,NA,"female","Holstein",1947,NA,TRUE
"206","animal216",NA,NA,"male","Holstein",1947,NA,TRUE
"207","animal217",NA,NA,"male","Holstein",1947,NA,TRUE
"208","animal218",NA,NA,"male","Holstein",1947,NA,TRUE
"209","animal219",NA,NA,"female","Dt.Sbt.Niederungsrind",1947,NA,TRUE
"210","animal220",NA,NA,"female","Holstein",1947,NA,TRUE
"211","animal221",NA,NA,"female","Holstein",1947,NA,TRUE
"212","animal222",NA,NA,"female","Holstein",1947,NA,TRUE
"213","animal223",NA,NA,"male","Holstein",1947,NA,TRUE
"214","animal224",NA,NA,"male","Holstein",1947,NA,TRUE
"215","animal225",NA,NA,"male","Holstein",1947,NA,TRUE
"216","animal226",NA,NA,"female","Holstein",1947,NA,TRUE
"217","animal227",NA,NA,"female","Holstein",1947,NA,TRUE
"218","animal228",NA,NA,"female","Dt.Sbt.Niederungsrind",1947,NA,TRUE
"219","animal229",NA,NA,"male","Holstein",1947,NA,TRUE
"220","animal230",NA,NA,"male","Braunvieh",1947,NA,TRUE
"221","animal231",NA,NA,"male","Holstein",1947,NA,TRUE
"222","animal232",NA,NA,"female","Holstein",1947,NA,TRUE
"223","animal233",NA,NA,"female","Holstein",1947,NA,TRUE
"224","animal234",NA,NA,"male","Holstein",1947,NA,TRUE
"225","animal235",NA,NA,"male","Holstein",1947,NA,TRUE
"226","animal236",NA,NA,"male","Holstein",1947,NA,TRUE
"227","animal237",NA,NA,"female","Braunvieh",1947,NA,TRUE
"228","animal238",NA,NA,"female","Holstein",1947,NA,TRUE
"229","animal239",NA,NA,"female","Holstein",1947,NA,TRUE
"230","animal240",NA,NA,"male","Holstein",1947,NA,TRUE
"231","animal241",NA,NA,"male","Holstein",1947,NA,TRUE
"232","animal242",NA,NA,"male","Pedigree-error",1947,NA,TRUE
"233","animal243",NA,NA,"male","Holstein",1947,NA,TRUE
"234","animal244",NA,NA,"male","Holstein",1947,NA,TRUE
"235","animal245",NA,NA,"female","Holstein",1947,NA,TRUE
"236","animal246",NA,NA,"female","Braunvieh",1947,NA,TRUE
"237","animal247",NA,NA,"male","Holstein",1947,NA,TRUE
"238","animal248",NA,NA,"male","Holstein",1947,NA,TRUE
"239","animal249",NA,NA,"male","Holstein",1947,NA,TRUE
"240","animal250",NA,NA,"male","Holstein",1947,NA,TRUE
"241","animal251",NA,NA,"female","Holstein",1947,NA,TRUE
"242","animal252",NA,NA,"male","Holstein",1947,NA,TRUE
"243","animal253",NA,NA,"male","Holstein",1947,NA,TRUE
"244","animal254",NA,NA,"male","Holstein",1947,NA,TRUE
"245","animal255",NA,NA,"female","Holstein",1947,NA,TRUE
"246","animal256",NA,NA,"female","Holstein",1948,NA,TRUE
"247","animal257",NA,NA,"female","Holstein",1948,NA,TRUE
"248","animal258",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"249","animal259",NA,NA,"female","Holstein",1948,NA,TRUE
"250","animal260",NA,NA,"female","Holstein",1948,NA,TRUE
"251","animal261",NA,NA,"male","Holstein",1948,NA,TRUE
"252","animal262",NA,NA,"female","Holstein",1948,NA,TRUE
"253","animal263",NA,NA,"female","Holstein",1948,NA,TRUE
"254","animal264",NA,NA,"male","Holstein",1948,NA,TRUE
"255","animal265",NA,NA,"female","Angler",1948,NA,TRUE
"256","animal266",NA,NA,"female","Holstein",1948,NA,TRUE
"257","animal267",NA,NA,"female","Holstein",1948,NA,TRUE
"258","animal268",NA,NA,"female","Holstein",1948,NA,TRUE
"259","animal269",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"260","animal270",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"261","animal271",NA,NA,"male","Holstein",1948,NA,TRUE
"262","animal272",NA,NA,"male","Dt.Sbt.Niederungsrind",1948,NA,TRUE
"263","animal273",NA,NA,"female","Holstein",1948,NA,TRUE
"264","animal274",NA,NA,"female","Dt.Sbt.Niederungsrind",1948,NA,TRUE
"265","animal275",NA,NA,"male","Rbt",1948,NA,TRUE
"266","animal276",NA,NA,"female","Holstein",1948,NA,TRUE
"267","animal277",NA,NA,"male","Holstein",1948,NA,TRUE
"268","animal278",NA,NA,"female","Holstein",1948,NA,TRUE
"269","animal279",NA,NA,"male","Holstein",1948,NA,TRUE
"270","animal280",NA,NA,"male","Holstein",1948,NA,TRUE
"271","animal281",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"272","animal282",NA,NA,"male","Holstein",1948,NA,TRUE
"273","animal283",NA,NA,"female","Holstein",1948,NA,TRUE
"274","animal284",NA,NA,"male","Holstein",1948,NA,TRUE
"275","animal285",NA,NA,"male","Holstein",1948,NA,TRUE
"276","animal286",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"277","animal287",NA,NA,"female","Holstein",1948,NA,TRUE
"278","animal288",NA,NA,"female","Angler",1948,NA,TRUE
"279","animal289",NA,NA,"female","Holstein",1948,NA,TRUE
"280","animal290",NA,NA,"female","Holstein",1948,NA,TRUE
"281","animal291",NA,NA,"male","Pedigree-error",1948,NA,TRUE
"282","animal292",NA,NA,"female","Holstein",1948,NA,TRUE
"283","animal293",NA,NA,"female","Holstein",1948,NA,TRUE
"284","animal294",NA,NA,"female","Holstein",1948,NA,TRUE
"285","animal295",NA,NA,"male","Holstein",1948,NA,TRUE
"286","animal296",NA,NA,"male","Holstein",1948,NA,TRUE
"287","animal297",NA,NA,"female","Rbt",1949,NA,TRUE
"288","animal298",NA,NA,"female","Holstein",1949,NA,TRUE
"289","animal299",NA,NA,"female","Holstein",1949,NA,TRUE
"290","animal300",NA,NA,"male","Braunvieh",1949,NA,TRUE
"291","animal301",NA,NA,"female","Holstein",1949,NA,TRUE
"292","animal302",NA,NA,"female","Holstein",1949,NA,TRUE
"293","animal303",NA,NA,"male","Sonstige",1949,NA,TRUE
"294","animal304",NA,NA,"male","Pedigree-error",1949,NA,TRUE
"295","animal305",NA,NA,"female","Holstein",1949,NA,TRUE
"296","animal306",NA,NA,"female","Holstein",1949,NA,TRUE
"297","animal307",NA,NA,"female","Holstein",1949,NA,TRUE
"298","animal308",NA,NA,"female","Holstein",1950,NA,TRUE
"299","animal309",NA,NA,"male","Holstein",1950,NA,TRUE
"300","animal310",NA,NA,"female","Angler",1950,NA,TRUE
"301","animal311",NA,NA,"male","Angler",1950,NA,TRUE
"302","animal312",NA,NA,"female","Angler",1950,NA,TRUE
"303","animal313",NA,NA,"female","Angler",1950,NA,TRUE
"304","animal314",NA,NA,"female","Holstein",1950,NA,TRUE
"305","animal315",NA,NA,"female","Angler",1950,NA,TRUE
"306","animal316",NA,NA,"male","Pedigree-error",1950,NA,TRUE
"307","animal317",NA,NA,"female","Holstein",1950,NA,TRUE
"308","animal318",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"309","animal319",NA,NA,"female","Braunvieh",1950,NA,TRUE
"310","animal320",NA,NA,"female","Holstein",1950,NA,TRUE
"311","animal321",NA,NA,"female","Angler",1950,NA,TRUE
"312","animal322",NA,NA,"female","Holstein",1950,NA,TRUE
"313","animal323",NA,NA,"female","Holstein",1950,NA,TRUE
"314","animal324",NA,NA,"male","Holstein",1950,NA,TRUE
"315","animal325",NA,NA,"female","Holstein",1950,NA,TRUE
"316","animal326",NA,NA,"female","Holstein",1950,NA,TRUE
"317","animal327",NA,NA,"female","Angler",1950,NA,TRUE
"318","animal328",NA,NA,"female","Angler",1950,NA,TRUE
"319","animal329",NA,NA,"male","Holstein",1950,NA,TRUE
"320","animal330",NA,NA,"female","Angler",1950,NA,TRUE
"321","animal331",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"322","animal332",NA,NA,"female","Angler",1950,NA,TRUE
"323","animal333",NA,NA,"male","Dt.Sbt.Niederungsrind",1950,NA,TRUE
"324","animal334",NA,NA,"female","Angler",1950,NA,TRUE
"325","animal335",NA,NA,"female","Angler",1950,NA,TRUE
"326","animal336",NA,NA,"female","Rbt",1950,NA,TRUE
"327","animal337",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"328","animal338",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"329","animal339",NA,NA,"female","Angler",1950,NA,TRUE
"330","animal340",NA,NA,"female","Holstein",1950,NA,TRUE
"331","animal341",NA,NA,"female","Holstein",1950,NA,TRUE
"332","animal342",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"333","animal343",NA,NA,"female","Angler",1950,NA,TRUE
"334","animal344",NA,NA,"female","Holstein",1950,NA,TRUE
"335","animal345",NA,NA,"female","Angler",1950,NA,TRUE
"336","animal346",NA,NA,"female","Angler",1950,NA,TRUE
"337","animal347",NA,NA,"female","Holstein",1950,NA,TRUE
"338","animal348",NA,NA,"female","Angler",1950,NA,TRUE
"339","animal349",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"340","animal350",NA,NA,"female","Holstein",1950,NA,TRUE
"341","animal351",NA,NA,"female","Angler",1950,NA,TRUE
"342","animal352",NA,NA,"female","Holstein",1950,NA,TRUE
"343","animal353",NA,NA,"female","Angler",1950,NA,TRUE
"344","animal354",NA,NA,"female","Braunvieh",1950,NA,TRUE
"345","animal355",NA,NA,"female","Angler",1950,NA,TRUE
"346","animal356",NA,NA,"male","Holstein",1950,NA,TRUE
"347","animal357",NA,NA,"female","Angler",1950,NA,TRUE
"348","animal358",NA,NA,"female","Holstein",1950,NA,TRUE
"349","animal359",NA,NA,"female","Holstein",1950,NA,TRUE
"350","animal360",NA,NA,"female","Holstein",1950,NA,TRUE
"351","animal361",NA,NA,"female","Holstein",1950,NA,TRUE
"352","animal362",NA,NA,"female","Angler",1950,NA,TRUE
"353","animal363",NA,NA,"female","Angler",1950,NA,TRUE
"354","animal364",NA,NA,"male","Dt.Sbt.Niederungsrind",1950,NA,TRUE
"355","animal365",NA,NA,"female","Holstein",1950,NA,TRUE
"356","animal366",NA,NA,"female","Angler",1950,NA,TRUE
"357","animal367",NA,NA,"female","Angler",1950,NA,TRUE
"358","animal368",NA,NA,"female","Angler",1950,NA,TRUE
"359","animal369",NA,NA,"female","Angler",1950,NA,TRUE
"360","animal370",NA,NA,"female","Holstein",1950,NA,TRUE
"361","animal371",NA,NA,"female","Angler",1950,NA,TRUE
"362","animal372",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"363","animal373",NA,NA,"female","Sonstige",1950,NA,TRUE
"364","animal374",NA,NA,"female","Holstein",1950,NA,TRUE
"365","animal375",NA,NA,"female","Angler",1950,NA,TRUE
"366","animal376",NA,NA,"female","Dt.Sbt.Niederungsrind",1950,NA,TRUE
"367","animal377",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"368","animal378",NA,NA,"female","Angler",1950,NA,TRUE
"369","animal379",NA,NA,"female","Angler",1950,NA,TRUE
"370","animal380",NA,NA,"female","Angler",1950,NA,TRUE
"371","animal381",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"372","animal382",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"373","animal383",NA,NA,"female","Holstein",1950,NA,TRUE
"374","animal384",NA,NA,"female","Pedigree-error",1950,NA,TRUE
"375","animal385",NA,NA,"female","Holstein",1950,NA,TRUE
"376","animal386",NA,NA,"female","Holstein",1950,NA,TRUE
"377","animal387",NA,NA,"female","Angler",1950,NA,TRUE
"378","animal388",NA,NA,"male","Angler",1951,NA,TRUE
"379","animal389",NA,NA,"female","Holstein",1951,NA,TRUE
"380","animal390",NA,NA,"male","Angler",1951,NA,TRUE
"381","animal391",NA,NA,"female","Holstein",1951,NA,TRUE
"382","animal392",NA,NA,"female","Holstein",1951,NA,TRUE
"383","animal393",NA,NA,"male","Holstein",1951,NA,TRUE
"384","animal394",NA,NA,"male","Holstein",1951,NA,TRUE
"385","animal395",NA,NA,"female","Holstein",1951,NA,TRUE
"386","animal396",NA,NA,"male","Dt.Sbt.Niederungsrind",1951,NA,TRUE
"387","animal397",NA,NA,"female","Holstein",1951,NA,TRUE
"388","animal398",NA,NA,"male","Angler",1951,NA,TRUE
"389","animal399",NA,NA,"male","Holstein",1951,NA,TRUE
"390","animal400",NA,NA,"male","Pedigree-error",1951,NA,TRUE
"391","animal401",NA,NA,"female","Holstein",1951,NA,TRUE
"392","animal402",NA,NA,"male","Dt.Sbt.Niederungsrind",1951,NA,TRUE
"393","animal403",NA,NA,"female","Braunvieh",1951,NA,TRUE
"394","animal404",NA,NA,"male","Pedigree-error",1951,NA,TRUE
"395","animal405",NA,NA,"female","Holstein",1951,NA,TRUE
"396","animal406",NA,NA,"male","Angler",1951,NA,TRUE
"397","animal407",NA,NA,"male","Holstein",1951,NA,TRUE
"398","animal408",NA,NA,"female","Holstein",1951,NA,TRUE
"399","animal409",NA,NA,"female","Angler",1951,NA,TRUE
"400","animal410",NA,NA,"male","Angler",1951,NA,TRUE
"401","animal411",NA,NA,"male","Holstein",1951,NA,TRUE
"402","animal412",NA,NA,"male","Holstein",1951,NA,TRUE
"403","animal413",NA,NA,"female","Holstein",1952,NA,TRUE
"404","animal414",NA,NA,"female","Angler",1952,NA,TRUE
"405","animal415",NA,NA,"female","Holstein",1952,NA,TRUE
"406","animal416",NA,NA,"female","Holstein",1952,NA,TRUE
"407","animal417",NA,NA,"female","Holstein",1952,NA,TRUE
"408","animal418",NA,NA,"male","Holstein",1952,NA,TRUE
"409","animal419",NA,NA,"male","Holstein",1952,NA,TRUE
"410","animal420",NA,NA,"female","Pedigree-error",1952,NA,TRUE
"411","animal421",NA,NA,"female","Holstein",1952,NA,TRUE
"412","animal422",NA,NA,"male","Holstein",1952,NA,TRUE
"413","animal423",NA,NA,"female","Holstein",1952,NA,TRUE
"414","animal424",NA,NA,"female","Dt.Sbt.Niederungsrind",1952,NA,TRUE
"415","animal425",NA,NA,"male","Holstein",1952,NA,TRUE
"416","animal426",NA,NA,"male","Holstein",1952,NA,TRUE
"417","animal427",NA,NA,"female","Holstein",1952,NA,TRUE
"418","animal428",NA,NA,"female","Holstein",1952,NA,TRUE
"419","animal429",NA,NA,"female","Holstein",1952,NA,TRUE
"420","animal430",NA,NA,"male","Holstein",1952,NA,TRUE
"421","animal431",NA,NA,"female","Braunvieh",1952,NA,TRUE
"422","animal432",NA,NA,"male","Holstein",1952,NA,TRUE
"423","animal433",NA,NA,"female","Holstein",1952,NA,TRUE
"424","animal434",NA,NA,"female","Holstein",1952,NA,TRUE
"425","animal435",NA,NA,"female","Holstein",1952,NA,TRUE
"426","animal436",NA,NA,"male","Angler",1952,NA,TRUE
"427","animal437",NA,NA,"female","Holstein",1952,NA,TRUE
