"","Indiv","Sire","Dam","Sex","Breed","Born"
"206","animal206",NA,NA,"female","Pedigree-error",1945
"207","animal207",NA,NA,"female","Braunvieh",1946
"208","animal208",NA,NA,"female","Holstein",1946
"209","animal209",NA,NA,"female","Holstein",1946
"210","animal210",NA,NA,"female","Dt.Sbt.Niederungsrind",1946
"211","animal211",NA,NA,"female","Dt.Sbt.Niederungsrind",1946
"212","animal212",NA,NA,"male","Holstein",1946
"213","animal213",NA,NA,"male","Holstein",1947
"214","animal214",NA,NA,"female","Holstein",1947
"215","animal215",NA,NA,"female","Holstein",1947
"216","animal216",NA,NA,"male","Holstein",1947
"217","animal217",NA,NA,"male","Holstein",1947
"218","animal218",NA,NA,"male","Holstein",1947
"219","animal219",NA,NA,"female","Dt.Sbt.Niederungsrind",1947
"220","animal220",NA,NA,"female","Holstein",1947
"221","animal221",NA,NA,"female","Holstein",1947
"222","animal222",NA,NA,"female","Holstein",1947
"223","animal223",NA,NA,"male","Holstein",1947
"224","animal224",NA,NA,"male","Holstein",1947
"225","animal225",NA,NA,"male","Holstein",1947
"226","animal226",NA,NA,"female","Holstein",1947
"227","animal227",NA,NA,"female","Holstein",1947
"228","animal228",NA,NA,"female","Dt.Sbt.Niederungsrind",1947
"229","animal229",NA,NA,"male","Holstein",1947
"230","animal230",NA,NA,"male","Braunvieh",1947
"231","animal231",NA,NA,"male","Holstein",1947
"232","animal232",NA,NA,"female","Holstein",1947
"233","animal233",NA,NA,"female","Holstein",1947
"234","animal234",NA,NA,"male","Holstein",1947
"235","animal235",NA,NA,"male","Holstein",1947
"236","animal236",NA,NA,"male","Holstein",1947
"237","animal237",NA,NA,"female","Braunvieh",1947
"238","animal238",NA,NA,"female","Holstein",1947
"239","animal239",NA,NA,"female","Holstein",1947
"240","animal240",NA,NA,"male","Holstein",1947
"241","animal241",NA,NA,"male","Holstein",1947
"242","animal242",NA,NA,"male","Pedigree-error",1947
"243","animal243",NA,NA,"male","Holstein",1947
"244","animal244",NA,NA,"male","Holstein",1947
"245","animal245",NA,NA,"female","Holstein",1947
"246","animal246",NA,NA,"female","Braunvieh",1947
"247","animal247",NA,NA,"male","Holstein",1947
"248","animal248",NA,NA,"male","Holstein",1947
"249","animal249",NA,NA,"male","Holstein",1947
"250","animal250",NA,NA,"male","Holstein",1947
"251","animal251",NA,NA,"female","Holstein",1947
"252","animal252",NA,NA,"male","Holstein",1947
"253","animal253",NA,NA,"male","Holstein",1947
"254","animal254",NA,NA,"male","Holstein",1947
"255","animal255",NA,NA,"female","Holstein",1947
"256","animal256",NA,NA,"female","Holstein",1948
"257","animal257",NA,NA,"female","Holstein",1948
"258","animal258",NA,NA,"male","Pedigree-error",1948
"259","animal259",NA,NA,"female","Holstein",1948
"260","animal260",NA,NA,"female","Holstein",1948
"261","animal261",NA,NA,"male","Holstein",1948
"262","animal262",NA,NA,"female","Holstein",1948
"263","animal263",NA,NA,"female","Holstein",1948
"264","animal264",NA,NA,"male","Holstein",1948
"265","animal265",NA,NA,"female","Angler",1948
"266","animal266",NA,NA,"female","Holstein",1948
"267","animal267",NA,NA,"female","Holstein",1948
"268","animal268",NA,NA,"female","Holstein",1948
"269","animal269",NA,NA,"male","Pedigree-error",1948
"270","animal270",NA,NA,"male","Pedigree-error",1948
"271","animal271",NA,NA,"male","Holstein",1948
"272","animal272",NA,NA,"male","Dt.Sbt.Niederungsrind",1948
"273","animal273",NA,NA,"female","Holstein",1948
"274","animal274",NA,NA,"female","Dt.Sbt.Niederungsrind",1948
"275","animal275",NA,NA,"male","Rbt",1948
"276","animal276",NA,NA,"female","Holstein",1948
"277","animal277",NA,NA,"male","Holstein",1948
"278","animal278",NA,NA,"female","Holstein",1948
"279","animal279",NA,NA,"male","Holstein",1948
"280","animal280",NA,NA,"male","Holstein",1948
"281","animal281",NA,NA,"male","Pedigree-error",1948
"282","animal282",NA,NA,"male","Holstein",1948
"283","animal283",NA,NA,"female","Holstein",1948
"284","animal284",NA,NA,"male","Holstein",1948
"285","animal285",NA,NA,"male","Holstein",1948
"286","animal286",NA,NA,"male","Pedigree-error",1948
"287","animal287",NA,NA,"female","Holstein",1948
"288","animal288",NA,NA,"female","Angler",1948
"289","animal289",NA,NA,"female","Holstein",1948
"290","animal290",NA,NA,"female","Holstein",1948
"291","animal291",NA,NA,"male","Pedigree-error",1948
"292","animal292",NA,NA,"female","Holstein",1948
"293","animal293",NA,NA,"female","Holstein",1948
"294","animal294",NA,NA,"female","Holstein",1948
"295","animal295",NA,NA,"male","Holstein",1948
"296","animal296",NA,NA,"male","Holstein",1948
"297","animal297",NA,NA,"female","Rbt",1949
"298","animal298",NA,NA,"female","Holstein",1949
"299","animal299",NA,NA,"female","Holstein",1949
"300","animal300",NA,NA,"male","Braunvieh",1949
"301","animal301",NA,NA,"female","Holstein",1949
"302","animal302",NA,NA,"female","Holstein",1949
"303","animal303",NA,NA,"male","Sonstige",1949
"304","animal304",NA,NA,"male","Pedigree-error",1949
"305","animal305",NA,NA,"female","Holstein",1949
"306","animal306",NA,NA,"female","Holstein",1949
"307","animal307",NA,NA,"female","Holstein",1949
"308","animal308",NA,NA,"female","Holstein",1950
"309","animal309",NA,NA,"male","Holstein",1950
"310","animal310",NA,NA,"female","Angler",1950
"311","animal311",NA,NA,"male","Angler",1950
"312","animal312",NA,NA,"female","Angler",1950
"313","animal313",NA,NA,"female","Angler",1950
"314","animal314",NA,NA,"female","Holstein",1950
"315","animal315",NA,NA,"female","Angler",1950
"316","animal316",NA,NA,"male","Pedigree-error",1950
"317","animal317",NA,NA,"female","Holstein",1950
"318","animal318",NA,NA,"female","Pedigree-error",1950
"319","animal319",NA,NA,"female","Braunvieh",1950
"320","animal320",NA,NA,"female","Holstein",1950
"321","animal321",NA,NA,"female","Angler",1950
"322","animal322",NA,NA,"female","Holstein",1950
"323","animal323",NA,NA,"female","Holstein",1950
"324","animal324",NA,NA,"male","Holstein",1950
"325","animal325",NA,NA,"female","Holstein",1950
"326","animal326",NA,NA,"female","Holstein",1950
"327","animal327",NA,NA,"female","Angler",1950
"328","animal328",NA,NA,"female","Angler",1950
"329","animal329",NA,NA,"male","Holstein",1950
"330","animal330",NA,NA,"female","Angler",1950
"331","animal331",NA,NA,"female","Pedigree-error",1950
"332","animal332",NA,NA,"female","Angler",1950
"333","animal333",NA,NA,"male","Dt.Sbt.Niederungsrind",1950
"334","animal334",NA,NA,"female","Angler",1950
"335","animal335",NA,NA,"female","Angler",1950
"336","animal336",NA,NA,"female","Rbt",1950
"337","animal337",NA,NA,"female","Pedigree-error",1950
"338","animal338",NA,NA,"female","Pedigree-error",1950
"339","animal339",NA,NA,"female","Angler",1950
"340","animal340",NA,NA,"female","Holstein",1950
"341","animal341",NA,NA,"female","Holstein",1950
"342","animal342",NA,NA,"female","Pedigree-error",1950
"343","animal343",NA,NA,"female","Angler",1950
"344","animal344",NA,NA,"female","Holstein",1950
"345","animal345",NA,NA,"female","Angler",1950
"346","animal346",NA,NA,"female","Angler",1950
"347","animal347",NA,NA,"female","Holstein",1950
"348","animal348",NA,NA,"female","Angler",1950
"349","animal349",NA,NA,"female","Pedigree-error",1950
"350","animal350",NA,NA,"female","Holstein",1950
"351","animal351",NA,NA,"female","Angler",1950
"352","animal352",NA,NA,"female","Holstein",1950
"353","animal353",NA,NA,"female","Angler",1950
"354","animal354",NA,NA,"female","Braunvieh",1950
"355","animal355",NA,NA,"female","Angler",1950
"356","animal356",NA,NA,"male","Holstein",1950
"357","animal357",NA,NA,"female","Angler",1950
"358","animal358",NA,NA,"female","Holstein",1950
"359","animal359",NA,NA,"female","Holstein",1950
"360","animal360",NA,NA,"female","Holstein",1950
"361","animal361",NA,NA,"female","Holstein",1950
"362","animal362",NA,NA,"female","Angler",1950
"363","animal363",NA,NA,"female","Angler",1950
"364","animal364",NA,NA,"male","Dt.Sbt.Niederungsrind",1950
"365","animal365",NA,NA,"female","Holstein",1950
"366","animal366",NA,NA,"female","Angler",1950
"367","animal367",NA,NA,"female","Angler",1950
"368","animal368",NA,NA,"female","Angler",1950
"369","animal369",NA,NA,"female","Angler",1950
"370","animal370",NA,NA,"female","Holstein",1950
"371","animal371",NA,NA,"female","Angler",1950
"372","animal372",NA,NA,"female","Pedigree-error",1950
"373","animal373",NA,NA,"female","Sonstige",1950
"374","animal374",NA,NA,"female","Holstein",1950
"375","animal375",NA,NA,"female","Angler",1950
"376","animal376",NA,NA,"female","Dt.Sbt.Niederungsrind",1950
"377","animal377",NA,NA,"female","Pedigree-error",1950
"378","animal378",NA,NA,"female","Angler",1950
"379","animal379",NA,NA,"female","Angler",1950
"380","animal380",NA,NA,"female","Angler",1950
"381","animal381",NA,NA,"female","Pedigree-error",1950
"382","animal382",NA,NA,"female","Pedigree-error",1950
"383","animal383",NA,NA,"female","Holstein",1950
"384","animal384",NA,NA,"female","Pedigree-error",1950
"385","animal385",NA,NA,"female","Holstein",1950
"386","animal386",NA,NA,"female","Holstein",1950
"387","animal387",NA,NA,"female","Angler",1950
"388","animal388",NA,NA,"male","Angler",1951
"389","animal389",NA,NA,"female","Holstein",1951
"390","animal390",NA,NA,"male","Angler",1951
"391","animal391",NA,NA,"female","Holstein",1951
"392","animal392",NA,NA,"female","Holstein",1951
"393","animal393",NA,NA,"male","Holstein",1951
"394","animal394",NA,NA,"male","Holstein",1951
"395","animal395",NA,NA,"female","Holstein",1951
"396","animal396",NA,NA,"male","Dt.Sbt.Niederungsrind",1951
"397","animal397",NA,NA,"female","Holstein",1951
"398","animal398",NA,NA,"male","Angler",1951
"399","animal399",NA,NA,"male","Holstein",1951
"400","animal400",NA,NA,"male","Pedigree-error",1951
"401","animal401",NA,NA,"female","Holstein",1951
"402","animal402",NA,NA,"male","Dt.Sbt.Niederungsrind",1951
"403","animal403",NA,NA,"female","Braunvieh",1951
"404","animal404",NA,NA,"male","Pedigree-error",1951
"405","animal405",NA,NA,"female","Holstein",1951
"406","animal406",NA,NA,"male","Angler",1951
"407","animal407",NA,NA,"male","Holstein",1951
"408","animal408",NA,NA,"female","Holstein",1951
"409","animal409",NA,NA,"female","Angler",1951
"410","animal410",NA,NA,"male","Angler",1951
"411","animal411",NA,NA,"male","Holstein",1951
"412","animal412",NA,NA,"male","Holstein",1951
"413","animal413",NA,NA,"female","Holstein",1952
"414","animal414",NA,NA,"female","Angler",1952
"415","animal415",NA,NA,"female","Holstein",1952
"416","animal416",NA,NA,"female","Holstein",1952
"417","animal417",NA,NA,"female","Holstein",1952
"418","animal418",NA,NA,"male","Holstein",1952
"419","animal419",NA,NA,"male","Holstein",1952
"420","animal420",NA,NA,"female","Pedigree-error",1952
"421","animal421",NA,NA,"female","Holstein",1952
"422","animal422",NA,NA,"male","Holstein",1952
"423","animal423",NA,NA,"female","Holstein",1952
"424","animal424",NA,NA,"female","Dt.Sbt.Niederungsrind",1952
"425","animal425",NA,NA,"male","Holstein",1952
"426","animal426",NA,NA,"male","Holstein",1952
"427","animal427",NA,NA,"female","Holstein",1952
"428","animal428",NA,NA,"female","Holstein",1952
"429","animal429",NA,NA,"female","Holstein",1952
"430","animal430",NA,NA,"male","Holstein",1952
"431","animal431",NA,NA,"female","Braunvieh",1952
"432","animal432",NA,NA,"male","Holstein",1952
"433","animal433",NA,NA,"female","Holstein",1952
"434","animal434",NA,NA,"female","Holstein",1952
"435","animal435",NA,NA,"female","Holstein",1952
"436","animal436",NA,NA,"male","Angler",1952
"437","animal437",NA,NA,"female","Holstein",1952
"438","animal438",NA,NA,"male","Pedigree-error",1952
"439","animal439",NA,NA,"male","Holstein",1953
"440","animal440",NA,NA,"female","Holstein",1953
"441","animal441",NA,NA,"female","Pedigree-error",1953
"442","animal442",NA,NA,"male","Holstein",1953
"443","animal443",NA,NA,"female","Pedigree-error",1953
"444","animal444",NA,NA,"male","Angler",1953
"445","animal445",NA,NA,"female","Holstein",1953
"446","animal446",NA,NA,"female","Angler",1953
"447","animal447",NA,NA,"male","Angler",1953
"448","animal448",NA,NA,"male","Angler",1953
"449","animal449",NA,NA,"female","Holstein",1953
"450","animal450",NA,NA,"male","Holstein",1953
"451","animal451",NA,NA,"male","Holstein",1953
"452","animal452",NA,NA,"female","Holstein",1953
"453","animal453",NA,NA,"male","Angler",1953
"454","animal454",NA,NA,"male","Holstein",1953
"455","animal455",NA,NA,"female","Pedigree-error",1953
"456","animal456",NA,NA,"female","Holstein",1953
"457","animal457",NA,NA,"male","Angler",1953
"458","animal458",NA,NA,"female","Holstein",1953
"459","animal459",NA,NA,"female","Pedigree-error",1953
"460","animal460",NA,NA,"female","Angler",1953
"461","animal461",NA,NA,"male","Angler",1953
"462","animal462",NA,NA,"male","Braunvieh",1953
"463","animal463",NA,NA,"female","Holstein",1954
"464","animal464",NA,NA,"female","Angler",1954
"465","animal465",NA,NA,"female","Holstein",1954
"466","animal466",NA,NA,"female","Holstein",1954
"467","animal467",NA,NA,"female","Holstein",1954
"468","animal468",NA,NA,"female","Holstein",1954
"469","animal469",NA,NA,"female","Holstein",1954
"470","animal470",NA,NA,"female","Holstein",1954
"471","animal471",NA,NA,"male","Holstein",1954
"472","animal472",NA,NA,"female","Holstein",1954
"473","animal473",NA,NA,"female","Holstein",1954
"474","animal474",NA,NA,"female","Holstein",1954
"475","animal475",NA,NA,"male","Angler",1954
"476","animal476",NA,NA,"male","Angler",1954
"477","animal477",NA,NA,"female","Holstein",1954
"478","animal478",NA,NA,"female","Holstein",1954
"479","animal479",NA,NA,"male","Angler",1954
"480","animal480",NA,NA,"male","Holstein",1954
"481","animal481",NA,NA,"male","Holstein",1954
"482","animal482",NA,NA,"female","Holstein",1954
"483","animal483",NA,NA,"male","Angler",1954
"484","animal484",NA,NA,"female","Holstein",1954
"485","animal485",NA,NA,"female","Holstein",1954
"486","animal486",NA,NA,"male","Holstein",1954
"487","animal487",NA,NA,"female","Holstein",1955
"488","animal488",NA,NA,"female","Holstein",1955
"489","animal489",NA,NA,"female","Pedigree-error",1955
"490","animal490",NA,NA,"female","Holstein",1955
"491","animal491",NA,NA,"female","Angler",1955
"492","animal492",NA,NA,"male","Rbt",1955
"493","animal493",NA,NA,"male","Holstein",1955
"494","animal494",NA,NA,"male","Angler",1955
"495","animal495",NA,NA,"female","Holstein",1955
"496","animal496",NA,NA,"female","Holstein",1955
"497","animal497",NA,NA,"female","Angler",1955
"498","animal498",NA,NA,"female","Holstein",1955
"499","animal499",NA,NA,"male","Holstein",1955
"500","animal500",NA,NA,"male","Holstein",1955
"501","animal501",NA,NA,"female","Holstein",1955
"502","animal502",NA,NA,"male","Pedigree-error",1955
"503","animal503",NA,NA,"female","Pedigree-error",1955
"504","animal504",NA,NA,"female","Holstein",1955
"505","animal505",NA,NA,"male","Holstein",1955
"506","animal506",NA,NA,"female","Holstein",1955
"507","animal507",NA,NA,"male","Holstein",1955
"508","animal508",NA,NA,"female","Holstein",1955
"509","animal509",NA,NA,"male","Angler",1955
"510","animal510",NA,NA,"female","Angler",1955
"511","animal511",NA,NA,"male","Angler",1955
"512","animal512",NA,NA,"male","Holstein",1955
"513","animal513",NA,NA,"female","Holstein",1955
"514","animal514",NA,NA,"female","Holstein",1955
"515","animal515",NA,NA,"male","Holstein",1956
"516","animal516",NA,NA,"female","Braunvieh",1956
"517","animal517",NA,NA,"female","Pedigree-error",1956
"518","animal518",NA,NA,"female","Angler",1956
"519","animal519",NA,NA,"female","Pedigree-error",1956
"520","animal520",NA,NA,"female","Holstein",1956
"521","animal521",NA,NA,"male","Holstein",1956
"522","animal522",NA,NA,"female","Holstein",1956
"523","animal523",NA,NA,"female","Holstein",1956
"524","animal524",NA,NA,"female","Angler",1956
"525","animal525",NA,NA,"female","Holstein",1956
"526","animal526",NA,NA,"female","Holstein",1956
"527","animal527",NA,NA,"female","Angler",1956
"528","animal528",NA,NA,"female","Holstein",1956
"529","animal529",NA,NA,"female","Holstein",1956
"530","animal530",NA,NA,"female","Holstein",1956
"531","animal531",NA,NA,"female","Holstein",1956
"532","animal532",NA,NA,"male","Pedigree-error",1956
"533","animal533",NA,NA,"female","Pedigree-error",1956
"534","animal534",NA,NA,"female","Holstein",1956
"535","animal535",NA,NA,"female","Holstein",1956
"536","animal536",NA,NA,"male","Angler",1956
"537","animal537",NA,NA,"male","Pedigree-error",1956
"538","animal538",NA,NA,"female","Holstein",1956
"539","animal539",NA,NA,"female","Holstein",1956
"540","animal540",NA,NA,"female","Holstein",1956
"541","animal541",NA,NA,"male","Angler",1956
"542","animal542",NA,NA,"female","Holstein",1956
"543","animal543",NA,NA,"male","Holstein",1957
"544","animal544",NA,NA,"female","Angler",1957
"545","animal545",NA,NA,"female","Dt.Sbt.Niederungsrind",1957
"546","animal546",NA,NA,"female","Angler",1957
"547","animal547",NA,NA,"male","Angler",1957
"548","animal548",NA,NA,"male","Angler",1957
"549","animal549",NA,NA,"male","Holstein",1957
"550","animal550",NA,NA,"female","Holstein",1957
"551","animal551",NA,NA,"male","Holstein",1957
"552","animal552",NA,NA,"male","Braunvieh",1957
"553","animal553",NA,NA,"female","Holstein",1957
"554","animal554",NA,NA,"male","Dt.Sbt.Niederungsrind",1957
"555","animal555",NA,NA,"female","Braunvieh",1957
"556","animal556",NA,NA,"male","Angler",1957
"557","animal557",NA,NA,"female","Holstein",1957
"558","animal558",NA,NA,"male","Angler",1957
"559","animal559",NA,NA,"female","Angler",1957
"560","animal560",NA,NA,"male","Sonstige",1957
"561","animal561",NA,NA,"male","Holstein",1957
"562","animal562",NA,NA,"female","Angler",1957
"563","animal563",NA,NA,"male","Angler",1957
"564","animal564",NA,NA,"male","Holstein",1957
"565","animal565",NA,NA,"male","Sonstige",1958
"566","animal566",NA,NA,"female","Angler",1958
"567","animal567",NA,NA,"male","Holstein",1958
"568","animal568",NA,NA,"male","Holstein",1958
"569","animal569",NA,NA,"female","Holstein",1958
