Indiv Sire Dam Sex Breed Born
animal177 NA NA male Holstein 1942
animal178 NA NA male Holstein 1942
animal179 NA NA male Dt.Sbt.Niederungsrind 1943
animal180 NA NA female Holstein 1943
animal181 NA NA female Dt.Sbt.Niederungsrind 1943
animal182 NA NA male Holstein 1943
animal183 NA NA male Holstein 1943
animal184 NA NA male Dt.Sbt.Niederungsrind 1943
animal185 NA NA female Pedigree-error 1943
animal186 NA NA male Holstein 1943
animal187 NA NA female Dt.Sbt.Niederungsrind 1944
animal188 NA NA male Holstein 1944
animal189 NA NA female Holstein 1944
animal190 NA NA male Holstein 1944
animal191 NA NA male Pedigree-error 1944
animal192 NA NA male Pedigree-error 1944
animal193 NA NA female Holstein 1944
animal194 NA NA male Dt.Sbt.Niederungsrind 1944
animal195 NA NA male Dt.Sbt.Niederungsrind 1945
animal196 NA NA female Holstein 1945
animal197 NA NA female Holstein 1945
animal198 NA NA female Holstein 1945
animal199 NA NA male Braunvieh 1945
animal200 NA NA male Holstein 1945
animal201 NA NA female Dt.Sbt.Niederungsrind 1945
animal202 NA NA female Holstein 1945
animal203 NA NA male Holstein 1945
animal204 NA NA male Holstein 1945
animal205 NA NA female Holstein 1945
animal206 NA NA female Pedigree-error 1945
animal207 NA NA female Braunvieh 1946
animal208 NA NA female Holstein 1946
animal209 NA NA female Holstein 1946
animal210 NA NA female Dt.Sbt.Niederungsrind 1946
animal211 NA NA female Dt.Sbt.Niederungsrind 1946
animal212 NA NA male Holstein 1946
animal213 NA NA male Holstein 1947
animal214 NA NA female Holstein 1947
animal215 NA NA female Holstein 1947
animal216 NA NA male Holstein 1947
animal217 NA NA male Holstein 1947
animal218 NA NA male Holstein 1947
animal219 NA NA female Dt.Sbt.Niederungsrind 1947
animal220 NA NA female Holstein 1947
animal221 NA NA female Holstein 1947
animal222 NA NA female Holstein 1947
animal223 NA NA male Holstein 1947
animal224 NA NA male Holstein 1947
animal225 NA NA male Holstein 1947
animal226 NA NA female Holstein 1947
animal227 NA NA female Holstein 1947
animal228 NA NA female Dt.Sbt.Niederungsrind 1947
animal229 NA NA male Holstein 1947
animal230 NA NA male Braunvieh 1947
animal231 NA NA male Holstein 1947
animal232 NA NA female Holstein 1947
animal233 NA NA female Holstein 1947
animal234 NA NA male Holstein 1947
animal235 NA NA male Holstein 1947
animal236 NA NA male Holstein 1947
animal237 NA NA female Braunvieh 1947
animal238 NA NA female Holstein 1947
animal239 NA NA female Holstein 1947
animal240 NA NA male Holstein 1947
animal241 NA NA male Holstein 1947
animal242 NA NA male Pedigree-error 1947
animal243 NA NA male Holstein 1947
animal244 NA NA male Holstein 1947
animal245 NA NA female Holstein 1947
animal246 NA NA female Braunvieh 1947
animal247 NA NA male Holstein 1947
animal248 NA NA male Holstein 1947
animal249 NA NA male Holstein 1947
animal250 NA NA male Holstein 1947
animal251 NA NA female Holstein 1947
animal252 NA NA male Holstein 1947
animal253 NA NA male Holstein 1947
animal254 NA NA male Holstein 1947
animal255 NA NA female Holstein 1947
animal256 NA NA female Holstein 1948
animal257 NA NA female Holstein 1948
animal258 NA NA male Pedigree-error 1948
animal259 NA NA female Holstein 1948
animal260 NA NA female Holstein 1948
animal261 NA NA male Holstein 1948
animal262 NA NA female Holstein 1948
animal263 NA NA female Holstein 1948
animal264 NA NA male Holstein 1948
animal265 NA NA female Angler 1948
animal266 NA NA female Holstein 1948
animal267 NA NA female Holstein 1948
animal268 NA NA female Holstein 1948
animal269 NA NA male Pedigree-error 1948
animal270 NA NA male Pedigree-error 1948
animal271 NA NA male Holstein 1948
animal272 NA NA male Dt.Sbt.Niederungsrind 1948
animal273 NA NA female Holstein 1948
animal274 NA NA female Dt.Sbt.Niederungsrind 1948
animal275 NA NA male Rbt 1948
animal276 NA NA female Holstein 1948
animal277 NA NA male Holstein 1948
animal278 NA NA female Holstein 1948
animal279 NA NA male Holstein 1948
animal280 NA NA male Holstein 1948
animal281 NA NA male Pedigree-error 1948
animal282 NA NA male Holstein 1948
animal283 NA NA female Holstein 1948
animal284 NA NA male Holstein 1948
animal285 NA NA male Holstein 1948
animal286 NA NA male Pedigree-error 1948
animal287 NA NA female Holstein 1948
animal288 NA NA female Angler 1948
animal289 NA NA female Holstein 1948
animal290 NA NA female Holstein 1948
animal291 NA NA male Pedigree-error 1948
animal292 NA NA female Holstein 1948
animal293 NA NA female Holstein 1948
animal294 NA NA female Holstein 1948
animal295 NA NA male Holstein 1948
animal296 NA NA male Holstein 1948
animal297 NA NA female Rbt 1949
animal298 NA NA female Holstein 1949
animal299 NA NA female Holstein 1949
animal300 NA NA male Braunvieh 1949
animal301 NA NA female Holstein 1949
animal302 NA NA female Holstein 1949
animal303 NA NA male Sonstige 1949
animal304 NA NA male Pedigree-error 1949
animal305 NA NA female Holstein 1949
animal306 NA NA female Holstein 1949
animal307 NA NA female Holstein 1949
animal308 NA NA female Holstein 1950
animal309 NA NA male Holstein 1950
animal310 NA NA female Angler 1950
animal311 NA NA male Angler 1950
animal312 NA NA female Angler 1950
animal313 NA NA female Angler 1950
animal314 NA NA female Holstein 1950
animal315 NA NA female Angler 1950
animal316 NA NA male Pedigree-error 1950
animal317 NA NA female Holstein 1950
animal318 NA NA female Pedigree-error 1950
animal319 NA NA female Braunvieh 1950
animal320 NA NA female Holstein 1950
animal321 NA NA female Angler 1950
animal322 NA NA female Holstein 1950
animal323 NA NA female Holstein 1950
animal324 NA NA male Holstein 1950
animal325 NA NA female Holstein 1950
animal326 NA NA female Holstein 1950
animal327 NA NA female Angler 1950
animal328 NA NA female Angler 1950
animal329 NA NA male Holstein 1950
animal330 NA NA female Angler 1950
animal331 NA NA female Pedigree-error 1950
animal332 NA NA female Angler 1950
animal333 NA NA male Dt.Sbt.Niederungsrind 1950
animal334 NA NA female Angler 1950
animal335 NA NA female Angler 1950
animal336 NA NA female Rbt 1950
animal337 NA NA female Pedigree-error 1950
animal338 NA NA female Pedigree-error 1950
animal339 NA NA female Angler 1950
animal340 NA NA female Holstein 1950
animal341 NA NA female Holstein 1950
animal342 NA NA female Pedigree-error 1950
animal343 NA NA female Angler 1950
animal344 NA NA female Holstein 1950
animal345 NA NA female Angler 1950
animal346 NA NA female Angler 1950
animal347 NA NA female Holstein 1950
animal348 NA NA female Angler 1950
animal349 NA NA female Pedigree-error 1950
animal350 NA NA female Holstein 1950
animal351 NA NA female Angler 1950
animal352 NA NA female Holstein 1950
animal353 NA NA female Angler 1950
animal354 NA NA female Braunvieh 1950
animal355 NA NA female Angler 1950
animal356 NA NA male Holstein 1950
animal357 NA NA female Angler 1950
animal358 NA NA female Holstein 1950
animal359 NA NA female Holstein 1950
animal360 NA NA female Holstein 1950
animal361 NA NA female Holstein 1950
animal362 NA NA female Angler 1950
animal363 NA NA female Angler 1950
animal364 NA NA male Dt.Sbt.Niederungsrind 1950
animal365 NA NA female Holstein 1950
animal366 NA NA female Angler 1950
animal367 NA NA female Angler 1950
animal368 NA NA female Angler 1950
animal369 NA NA female Angler 1950
animal370 NA NA female Holstein 1950
animal371 NA NA female Angler 1950
animal372 NA NA female Pedigree-error 1950
animal373 NA NA female Sonstige 1950
animal374 NA NA female Holstein 1950
animal375 NA NA female Angler 1950
animal376 NA NA female Dt.Sbt.Niederungsrind 1950
animal377 NA NA female Pedigree-error 1950
animal378 NA NA female Angler 1950
animal379 NA NA female Angler 1950
animal380 NA NA female Angler 1950
animal381 NA NA female Pedigree-error 1950
animal382 NA NA female Pedigree-error 1950
animal383 NA NA female Holstein 1950
animal384 NA NA female Pedigree-error 1950
animal385 NA NA female Holstein 1950
animal386 NA NA female Holstein 1950
animal387 NA NA female Angler 1950
animal388 NA NA male Angler 1951
animal389 NA NA female Holstein 1951
animal390 NA NA male Angler 1951
animal391 NA NA female Holstein 1951
animal392 NA NA female Holstein 1951
animal393 NA NA male Holstein 1951
animal394 NA NA male Holstein 1951
animal395 NA NA female Holstein 1951
animal396 NA NA male Dt.Sbt.Niederungsrind 1951
animal397 NA NA female Holstein 1951
animal398 NA NA male Angler 1951
animal399 NA NA male Holstein 1951
animal400 NA NA male Pedigree-error 1951
animal401 NA NA female Holstein 1951
animal402 NA NA male Dt.Sbt.Niederungsrind 1951
animal403 NA NA female Braunvieh 1951
animal404 NA NA male Pedigree-error 1951
animal405 NA NA female Holstein 1951
animal406 NA NA male Angler 1951
animal407 NA NA male Holstein 1951
animal408 NA NA female Holstein 1951
animal409 NA NA female Angler 1951
animal410 NA NA male Angler 1951
animal411 NA NA male Holstein 1951
animal412 NA NA male Holstein 1951
animal413 NA NA female Holstein 1952
animal414 NA NA female Angler 1952
animal415 NA NA female Holstein 1952
animal416 NA NA female Holstein 1952
animal417 NA NA female Holstein 1952
animal418 NA NA male Holstein 1952
animal419 NA NA male Holstein 1952
animal420 NA NA female Pedigree-error 1952
animal421 NA NA female Holstein 1952
animal422 NA NA male Holstein 1952
animal423 NA NA female Holstein 1952
animal424 NA NA female Dt.Sbt.Niederungsrind 1952
animal425 NA NA male Holstein 1952
animal426 NA NA male Holstein 1952
animal427 NA NA female Holstein 1952
animal428 NA NA female Holstein 1952
animal429 NA NA female Holstein 1952
animal430 NA NA male Holstein 1952
animal431 NA NA female Braunvieh 1952
animal432 NA NA male Holstein 1952
animal433 NA NA female Holstein 1952
animal434 NA NA female Holstein 1952
animal435 NA NA female Holstein 1952
animal436 NA NA male Angler 1952
animal437 NA NA female Holstein 1952
animal438 NA NA male Pedigree-error 1952
animal439 NA NA male Holstein 1953
animal440 NA NA female Holstein 1953
animal441 NA NA female Pedigree-error 1953
animal442 NA NA male Holstein 1953
animal443 NA NA female Pedigree-error 1953
animal444 NA NA male Angler 1953
animal445 NA NA female Holstein 1953
animal446 NA NA female Angler 1953
animal447 NA NA male Angler 1953
animal448 NA NA male Angler 1953
animal449 NA NA female Holstein 1953
animal450 NA NA male Holstein 1953
animal451 NA NA male Holstein 1953
animal452 NA NA female Holstein 1953
animal453 NA NA male Angler 1953
animal454 NA NA male Holstein 1953
animal455 NA NA female Pedigree-error 1953
animal456 NA NA female Holstein 1953
animal457 NA NA male Angler 1953
animal458 NA NA female Holstein 1953
animal459 NA NA female Pedigree-error 1953
animal460 NA NA female Angler 1953
animal461 NA NA male Angler 1953
animal462 NA NA male Braunvieh 1953
animal463 NA NA female Holstein 1954
animal464 NA NA female Angler 1954
animal465 NA NA female Holstein 1954
animal466 NA NA female Holstein 1954
animal467 NA NA female Holstein 1954
animal468 NA NA female Holstein 1954
animal469 NA NA female Holstein 1954
animal470 NA NA female Holstein 1954
animal471 NA NA male Holstein 1954
animal472 NA NA female Holstein 1954
animal473 NA NA female Holstein 1954
animal474 NA NA female Holstein 1954
animal475 NA NA male Angler 1954
animal476 NA NA male Angler 1954
animal477 NA NA female Holstein 1954
animal478 NA NA female Holstein 1954
animal479 NA NA male Angler 1954
animal480 NA NA male Holstein 1954
animal481 NA NA male Holstein 1954
animal482 NA NA female Holstein 1954
animal483 NA NA male Angler 1954
animal484 NA NA female Holstein 1954
animal485 NA NA female Holstein 1954
animal486 NA NA male Holstein 1954
animal487 NA NA female Holstein 1955
animal488 NA NA female Holstein 1955
animal489 NA NA female Pedigree-error 1955
animal490 NA NA female Holstein 1955
animal491 NA NA female Angler 1955
animal492 NA NA male Rbt 1955
animal493 NA NA male Holstein 1955
animal494 NA NA male Angler 1955
animal495 NA NA female Holstein 1955
animal496 NA NA female Holstein 1955
animal497 NA NA female Angler 1955
animal498 NA NA female Holstein 1955
animal499 NA NA male Holstein 1955
animal500 NA NA male Holstein 1955
animal501 NA NA female Holstein 1955
animal502 NA NA male Pedigree-error 1955
animal503 NA NA female Pedigree-error 1955
animal504 NA NA female Holstein 1955
animal505 NA NA male Holstein 1955
animal506 NA NA female Holstein 1955
animal507 NA NA male Holstein 1955
animal508 NA NA female Holstein 1955
animal509 NA NA male Angler 1955
animal510 NA NA female Angler 1955
animal511 NA NA male Angler 1955
animal512 NA NA male Holstein 1955
animal513 NA NA female Holstein 1955
animal514 NA NA female Holstein 1955
animal515 NA NA male Holstein 1956
animal516 NA NA female Braunvieh 1956
animal517 NA NA female Pedigree-error 1956
animal518 NA NA female Angler 1956
animal519 NA NA female Pedigree-error 1956
animal520 NA NA female Holstein 1956
animal521 NA NA male Holstein 1956
animal522 NA NA female Holstein 1956
animal523 NA NA female Holstein 1956
animal524 NA NA female Angler 1956
animal525 NA NA female Holstein 1956
animal526 NA NA female Holstein 1956
animal527 NA NA female Angler 1956
animal528 NA NA female Holstein 1956
animal529 NA NA female Holstein 1956
animal530 NA NA female Holstein 1956
animal531 NA NA female Holstein 1956
animal532 NA NA male Pedigree-error 1956
animal533 NA NA female Pedigree-error 1956
animal534 NA NA female Holstein 1956
animal535 NA NA female Holstein 1956
animal536 NA NA male Angler 1956
animal537 NA NA male Pedigree-error 1956
animal538 NA NA female Holstein 1956
animal539 NA NA female Holstein 1956
animal540 NA NA female Holstein 1956
animal541 NA NA male Angler 1956
animal542 NA NA female Holstein 1956
animal543 NA NA male Holstein 1957
animal544 NA NA female Angler 1957
animal545 NA NA female Dt.Sbt.Niederungsrind 1957
animal546 NA NA female Angler 1957
animal547 NA NA male Angler 1957
animal548 NA NA male Angler 1957
animal549 NA NA male Holstein 1957
animal550 NA NA female Holstein 1957
animal551 NA NA male Holstein 1957
animal552 NA NA male Braunvieh 1957
animal553 NA NA female Holstein 1957
animal554 NA NA male Dt.Sbt.Niederungsrind 1957
animal555 NA NA female Braunvieh 1957
animal556 NA NA male Angler 1957
animal557 NA NA female Holstein 1957
animal558 NA NA male Angler 1957
animal559 NA NA female Angler 1957
animal560 NA NA male Sonstige 1957
animal561 NA NA male Holstein 1957
animal562 NA NA female Angler 1957
animal563 NA NA male Angler 1957
animal564 NA NA male Holstein 1957
animal565 NA NA male Sonstige 1958
animal566 NA NA female Angler 1958
animal567 NA NA male Holstein 1958
animal568 NA NA male Holstein 1958
animal569 NA NA female Holstein 1958
animal570 NA NA female Rbt 1958
animal571 NA NA male Angler 1958
animal572 NA NA male Angler 1958
animal573 NA NA female Angler 1958
animal574 NA NA female Pedigree-error 1958
animal575 NA NA male Angler 1958
animal576 NA NA female Holstein 1958
animal577 NA NA female Holstein 1958
animal578 NA NA female Pedigree-error 1958
animal579 NA NA female Braunvieh 1958
animal580 NA NA female Angler 1958
animal581 NA NA female Holstein 1958
animal582 NA NA female Pedigree-error 1958
animal583 NA NA female Angler 1958
animal584 NA NA female Holstein 1958
animal585 NA NA female Angler 1958
animal586 NA NA male Sonstige 1958
animal587 NA NA male Angler 1958
animal588 NA NA female Angler 1959
animal589 NA NA male Pedigree-error 1959
animal590 NA NA female Angler 1959
animal591 NA NA female Holstein 1959
animal592 NA NA female Angler 1959
animal593 NA NA female Angler 1959
animal594 NA NA female Holstein 1959
animal595 NA NA female Pedigree-error 1959
animal596 NA NA male Rbt 1959
animal597 NA NA female Angler 1959
animal598 NA NA male Pedigree-error 1959
animal599 NA NA female Angler 1959
animal600 NA NA male Angler 1959
animal601 NA NA male Pedigree-error 1959
animal602 NA NA male Pedigree-error 1959
animal603 NA NA female Holstein 1959
animal604 NA NA male Angler 1959
animal605 NA NA female Angler 1959
animal606 NA NA female Angler 1959
animal607 NA NA female Angler 1959
animal608 NA NA female Angler 1959
animal609 NA NA male Holstein 1959
animal610 NA NA male Jersey 1959
animal611 NA NA female Holstein 1959
animal612 NA NA female Holstein 1959
animal613 NA NA male Angler 1959
animal614 NA NA male Holstein 1959
animal615 NA NA female Angler 1959
animal616 NA NA female Holstein 1959
animal617 NA NA male Pedigree-error 1959
animal618 NA NA female Angler 1960
animal619 NA NA female Holstein 1960
animal620 NA NA female Angler 1960
animal621 NA NA male Braunvieh 1960
animal622 NA NA female Holstein 1960
animal623 NA NA male Pedigree-error 1960
animal624 NA NA female Pedigree-error 1960
animal625 NA NA female Angler 1960
animal626 NA NA female Holstein 1960
animal627 NA NA female Holstein 1960
animal628 NA NA female Holstein 1960
animal629 NA NA female Angler 1960
animal630 NA NA female Holstein 1960
animal631 NA NA male Angler 1960
animal632 NA NA female Holstein 1960
animal633 NA NA male Angler 1960
animal634 NA NA female Angler 1960
animal635 NA NA male Angler 1960
animal636 NA NA female Angler 1960
animal637 NA NA female Angler 1960
animal638 NA NA female Angler 1960
animal639 NA NA female Angler 1960
animal640 NA NA male Angler 1960
animal641 NA NA female Angler 1960
animal642 NA NA female Angler 1960
animal643 NA NA female Braunvieh 1960
animal644 NA NA female Angler 1960
animal645 NA NA female Angler 1960
animal646 NA NA female Angler 1960
animal647 NA NA male Rbt 1960
animal648 NA NA female Angler 1960
animal649 NA NA female Angler 1960
animal650 NA NA male Angler 1960
animal651 NA NA female Angler 1960
animal652 NA NA female Angler 1961
animal653 NA NA female Angler 1961
animal654 NA NA male Sonstige 1961
animal655 NA NA male Angler 1961
animal656 NA NA male Angler 1961
animal657 NA NA female Angler 1961
animal658 NA NA male Angler 1961
animal659 NA NA male Angler 1961
animal660 NA NA female Angler 1961
animal661 NA NA female Holstein 1961
animal662 NA NA female Holstein 1961
animal663 NA NA female Angler 1961
animal664 NA NA female Angler 1961
animal665 NA NA male Angler 1961
animal666 NA NA male Holstein 1961
animal667 NA NA female Angler 1961
animal668 NA NA male Angler 1961
animal669 NA NA female Angler 1961
animal670 NA NA male Angler 1961
animal671 NA NA female Angler 1961
animal672 NA NA female Holstein 1962
animal673 NA NA female Angler 1962
animal674 NA NA male Sonstige 1962
animal675 NA NA male Angler 1962
animal676 NA NA female Angler 1962
animal677 NA NA female Angler 1962
animal678 NA NA female Angler 1962
animal679 NA NA female Angler 1962
animal680 NA NA female Angler 1962
animal681 NA NA female Angler 1962
animal682 NA NA female Angler 1962
animal683 NA NA female Angler 1962
animal684 NA NA female Angler 1962
animal685 NA NA female Holstein 1962
animal686 NA NA female Angler 1962
animal687 NA NA male Angler 1962
animal688 NA NA female Angler 1962
animal689 NA NA male Angler 1962
animal690 NA NA female Angler 1962
animal691 NA NA male Angler 1962
animal692 NA NA female Holstein 1962
animal693 NA NA male Holstein 1962
animal694 NA NA female Holstein 1962
animal695 NA NA female Rbt 1962
animal696 NA NA female Angler 1962
animal697 NA NA female Angler 1962
animal698 NA NA female Angler 1962
animal699 NA NA female Angler 1962
animal700 NA NA male Angler 1963
animal701 NA NA female Rbt 1963
animal702 NA NA female Holstein 1963
animal703 NA NA female Angler 1963
animal704 NA NA female Holstein 1963
animal705 NA NA female Holstein 1963
animal706 NA NA male Pedigree-error 1963
animal707 NA NA female Rbt 1963
animal708 NA NA female Angler 1963
animal709 NA NA female Angler 1963
animal710 NA NA female Angler 1963
animal711 NA NA male Holstein 1963
animal712 NA NA female Angler 1963
animal713 NA NA female Angler 1963
animal714 NA NA male Pedigree-error 1963
animal715 NA NA female Holstein 1963
animal716 NA NA female Angler 1963
animal717 NA NA female Angler 1963
animal718 NA NA male Fleckvieh 1963
animal719 NA NA female Angler 1963
animal720 NA NA female Angler 1963
animal721 NA NA female Angler 1963
animal722 NA NA female Angler 1963
animal723 NA NA female Angler 1963
animal724 NA NA female Angler 1963
animal725 NA NA female Angler 1963
animal726 NA NA female Angler 1963
animal727 NA NA male Braunvieh 1963
animal728 NA NA female Holstein 1963
animal729 NA NA female Angler 1963
animal730 NA NA female Angler 1963
animal731 NA NA male Angler 1963
animal732 NA NA female Holstein 1963
animal733 NA NA female Holstein 1963
animal734 NA NA male Braunvieh 1963
animal735 NA NA female Rbt 1964
animal736 NA NA female Holstein 1964
animal737 NA NA male Holstein 1964
animal738 NA NA female Angler 1964
animal739 NA NA male Angler 1964
animal740 NA NA female Holstein 1964
animal741 NA NA female Angler 1964
animal742 NA NA female Angler 1964
animal743 NA NA female Angler 1964
animal744 NA NA female Holstein 1964
animal745 NA NA female Angler 1964
animal746 NA NA female Angler 1964
animal747 NA NA female Rbt 1964
animal748 NA NA male Angler 1964
animal749 NA NA female Angler 1964
animal750 NA NA female Angler 1964
animal751 NA NA female Pedigree-error 1964
animal752 NA NA female Holstein 1964
animal753 NA NA female Angler 1964
animal754 NA NA female Angler 1964
animal755 NA NA female Angler 1964
animal756 NA NA male Angler 1964
animal757 NA NA female Angler 1964
animal758 NA NA female Angler 1964
animal759 NA NA male Holstein 1964
animal760 NA NA female Angler 1964
animal761 NA NA female Angler 1964
animal762 NA NA male Pedigree-error 1964
animal763 NA NA male Angler 1965
animal764 NA NA female Angler 1965
animal765 NA NA female Angler 1965
animal766 NA NA female Angler 1965
animal767 NA NA female Angler 1965
animal768 NA NA female Holstein 1965
animal769 NA NA female Angler 1965
animal770 NA NA female Pedigree-error 1965
animal771 NA NA female Angler 1965
animal772 NA NA male Holstein 1965
animal773 NA NA female Angler 1965
animal774 NA NA female Angler 1965
animal775 NA NA female Angler 1965
animal776 NA NA female Pedigree-error 1966
animal777 NA NA female Angler 1966
animal778 NA NA female Angler 1966
animal779 NA NA female Holstein 1966
animal780 NA NA male Angler 1966
animal781 NA NA female Angler 1966
animal782 NA NA male Angler 1966
animal783 NA NA female Pedigree-error 1966
animal784 NA NA male Angler 1966
animal785 NA NA female Pedigree-error 1966
animal786 NA NA male Angler 1966
animal787 NA NA female Angler 1966
animal788 NA NA female Pedigree-error 1966
animal789 NA NA female Holstein 1966
animal790 NA NA female Pedigree-error 1966
animal791 NA NA female Angler 1966
animal792 NA NA female Pedigree-error 1966
animal793 NA NA female Angler 1966
animal794 NA NA male Angler 1966
animal795 NA NA female Pedigree-error 1966
animal796 NA NA female Angler 1967
animal797 NA NA female Angler 1967
animal798 NA NA female Angler 1967
animal799 NA NA male Angler 1967
animal800 NA NA female Angler 1967
animal801 NA NA female Holstein 1967
animal802 NA NA male Holstein 1967
animal803 NA NA male Angler 1967
animal804 NA NA female Holstein 1967
animal805 NA NA male Fleckvieh 1967
animal806 NA NA female Angler 1967
animal807 NA NA female Jersey 1967
animal808 NA NA female Angler 1967
animal809 NA NA female Angler 1967
animal810 NA NA female Angler 1967
animal811 NA NA female Angler 1967
animal812 NA NA female Angler 1968
animal813 NA NA female Angler 1968
animal814 NA NA female Angler 1968
animal815 NA NA female Angler 1968
animal816 NA NA female Angler 1968
animal817 NA NA male Angler 1968
animal818 NA NA male Angler 1968
