Indiv Sire Dam Born Sex Breed EBV
animal6163 animal4220 animal5331 2015 female Angler 71.99
animal4762 animal4241 animal35 2015 female Angler 68.33
animal4763 animal4244 animal36 2015 male Angler 58.4
animal4764 animal4220 animal3703 2015 male Angler 86.39
animal4765 animal4270 animal37 2015 female Angler 74.21
animal8169 animal3488 animal6155 2015 female Angler 96.76
animal3971 animal3698 animal38 2015 female Angler 77.58
animal3594 animal3458 animal24 2015 male Angler 75.25
animal5346 animal3464 animal4726 2015 male Angler 85.97
animal4274 animal3901 animal39 2015 female Angler 78.16
animal5347 animal3740 animal4740 2015 male Angler 75.98
animal4766 animal4242 animal40 2015 male Angler 69.64
animal4275 animal3733 animal3910 2015 female Angler 86.73
animal6164 animal5336 animal4235 2015 male Angler 66.42
animal3749 animal3570 animal41 2015 female Angler 96.84
animal4276 animal3927 animal24 2015 male Angler 69.88
animal5348 animal3481 animal4726 2015 female Angler 110.48
animal4767 animal3744 animal4269 2015 male Angler 86.62
animal3972 animal3695 animal42 2015 male Angler 86.44
animal5349 animal4220 animal4742 2015 female Angler 87.8
animal5350 animal4249 animal4726 2015 male Angler 101.55
animal3595 animal3470 animal16 2015 female Angler 73.81
animal6165 animal5334 animal4267 2015 female Angler 83.78
animal4768 animal3713 animal4258 2015 male Angler 69.6
animal4769 animal4252 animal3455 2015 male Angler 80.25
animal3596 animal3484 animal34 2015 male Angler 77.04
animal5351 animal3481 animal4740 2015 male Angler 87.27
animal4770 animal4220 animal43 2015 male Angler 69.38
animal5352 animal4746 animal17 2015 male Angler 78.68
animal5353 animal4744 animal44 2015 male Angler 80.22
animal4771 animal3575 animal4213 2015 male Angler 95.15
animal5354 animal4727 animal4265 2015 female Angler 84.03
animal8170 animal5 animal6157 2015 female Angler 76.98
animal4772 animal3579 animal4268 2015 female Angler 73.7
animal4773 animal4238 animal45 2015 female Angler 57.22
animal3973 animal3722 animal46 2015 female Angler 76.17
animal4277 animal3900 animal3897 2015 female Angler 90.17
animal4278 animal3957 animal47 2015 male Angler 74.93
animal3974 animal3702 animal48 2015 male Angler 84.86
animal4774 animal4238 animal17 2015 female Angler 66.96
animal4775 animal3439 animal4235 2015 female Angler 49.02
animal3975 animal3698 animal38 2015 female Angler 84
animal3491 animal3349 animal49 2015 female Angler 79.19
animal3976 animal3709 animal31 2015 male Angler 75.91
animal3750 animal3532 animal50 2015 female Angler 84.45
animal10292 animal4228 animal8165 2015 male Angler 69.46
animal8171 animal5334 animal6156 2015 female Angler 78.99
animal5355 animal4732 animal29 2015 female Angler 83.24
animal3751 animal3590 animal51 2015 male Angler 91.82
animal4279 animal3924 animal3554 2015 male Angler 44.07
animal3977 animal3733 animal52 2015 female Angler 82.12
animal4776 animal4253 animal20 2015 male Angler 86.87
animal4280 animal3943 animal42 2015 female Angler 72.44
animal3978 animal3744 animal53 2015 male Angler 71.45
animal4777 animal3905 animal4261 2015 female Angler 70.25
animal1319 animal4 animal49 2015 female Angler 86.56
animal4778 animal6 animal4247 2015 female Angler 83.63
animal6166 animal4231 animal5322 2015 male Angler 82.09
animal3597 animal3476 animal46 2015 male Angler 99.84
animal6167 animal3690 animal5332 2015 male Angler 78.7
animal5356 animal4220 animal4738 2015 female Angler 57.32
animal1320 animal7 animal36 2015 male Angler 70.71
animal8172 animal3745 animal6157 2015 male Angler 87.34
animal5357 animal8 animal4731 2015 female Angler 69.61
animal4779 animal4241 animal53 2015 female Angler 70.83
animal4281 animal3905 animal3554 2015 female Angler 69.27
animal3752 animal3579 animal15 2015 male Angler 94.69
animal4282 animal3890 animal54 2015 male Angler 71.99
animal3979 animal3663 animal17 2015 female Angler 45.48
animal6168 animal4238 animal5331 2015 female Angler 79.15
animal3598 animal3464 animal55 2015 male Angler 70.79
animal8173 animal3731 animal6156 2015 male Angler 91.53
animal4283 animal3942 animal56 2015 male Angler 81.19
animal4780 animal2 animal4235 2015 male Angler 66.73
animal4284 animal3932 animal57 2015 female Angler 79.39
animal6169 animal3728 animal5333 2015 female Angler 74.79
animal3980 animal3688 animal19 2015 female Angler 64.48
animal4285 animal3956 animal39 2015 male Angler 51.36
animal4286 animal3924 animal43 2015 male Angler 59.89
animal4781 animal3739 animal4262 2015 female Angler 73.84
animal4782 animal3476 animal4264 2015 male Angler 91.41
animal4287 animal3699 animal3959 2015 female Angler 71.96
animal4783 animal3745 animal4263 2015 male Angler 99.22
animal3981 animal3742 animal58 2015 female Angler 77.05
animal4784 animal3542 animal4235 2015 female Angler 88.49
animal5358 animal3513 animal4740 2015 male Angler 78.12
animal5359 animal4228 animal4740 2015 female Angler 63.24
animal1321 animal7 animal59 2015 male Angler 72.95
animal5360 animal3745 animal4730 2015 male Angler 68.74
animal5361 animal3585 animal4737 2015 male Angler 88.29
animal3982 animal3734 animal60 2015 male Angler 74.03
animal1322 animal2 animal48 2015 female Angler 69.04
animal5362 animal3739 animal4738 2015 female Angler 81.27
animal4785 animal4239 animal4250 2015 male Angler 76.47
animal3983 animal3745 animal3236 2015 male Angler 66.31
animal3984 animal3709 animal57 2015 male Angler 60.09
animal5363 animal3695 animal4726 2015 female Angler 93.35
animal4786 animal4241 animal54 2015 female Angler 76.81
animal4288 animal3924 animal28 2015 male Angler 71.75
animal6170 animal3688 animal5330 2015 female Angler 76.43
animal4289 animal9 animal3959 2015 male Angler 67.34
animal3599 animal3464 animal57 2015 female Angler 75.6
animal5364 animal4744 animal4245 2015 female Angler 71.19
animal4290 animal3947 animal19 2015 male Angler 64.55
animal4291 animal3489 animal3910 2015 male Angler 101.38
animal3600 animal3481 animal61 2015 female Angler 111.92
animal4292 animal3924 animal58 2015 male Angler 65.46
animal3985 animal3729 animal62 2015 female Angler 77.24
animal4787 animal3561 animal4261 2015 male Angler 87.1
animal4788 animal4223 animal4213 2015 female Angler 89.07
animal4789 animal3458 animal4258 2015 female Angler 72.11
animal4790 animal3909 animal4247 2015 male Angler 67.19
animal8174 animal3476 animal6157 2015 female Angler 108.09
animal3753 animal3573 animal3583 2015 female Angler 67.43
animal4791 animal4271 animal4262 2015 male Angler 82.28
animal6171 animal3731 animal5335 2015 male Angler 74.65
animal5365 animal4732 animal4263 2015 male Angler 103.28
animal4792 animal4272 animal21 2015 female Angler 91.1
animal4793 animal3916 animal4265 2015 male Angler 76.55
animal3601 animal3456 animal16 2015 male Angler 84.57
animal4293 animal3481 animal3959 2015 male Angler 93.72
animal4794 animal4248 animal53 2015 male Angler 73.45
animal6172 animal3713 animal5322 2015 male Angler 93.97
animal4795 animal4231 animal63 2015 male Angler 68.13
animal8175 animal6153 animal27 2015 male Angler 96.55
animal8176 animal4270 animal6155 2015 male Angler 90.19
animal5366 animal3575 animal4741 2015 male Angler 80.45
animal3602 animal3486 animal15 2015 female Angler 87.45
animal4796 animal4271 animal3910 2015 male Angler 97.56
animal4797 animal4228 animal33 2015 female Angler 98.12
animal1323 animal9 animal54 2015 male Angler 69.79
animal4798 animal3943 animal4258 2015 female Angler 60.42
animal8177 animal6158 animal3706 2015 female Angler 75.73
animal8178 animal3570 animal6157 2015 female Angler 94.36
animal6173 animal3568 animal5332 2015 female Angler 66.59
animal5367 animal4746 animal4264 2015 female Angler 82.24
animal8179 animal3729 animal6157 2015 female Angler 70.23
animal6174 animal5334 animal64 2015 female Angler 80.67
animal5368 animal3361 animal4728 2015 female Angler 88.59
animal11702 animal3957 animal10291 2015 female Angler 74.62
animal4799 animal4248 animal34 2015 female Angler 81.3
animal4294 animal1 animal3892 2015 male Angler 96.92
animal3754 animal3586 animal3244 2015 male Angler 63.62
animal4800 animal4238 animal56 2015 female Angler 53.58
animal3986 animal3718 animal36 2015 male Angler 83.55
animal5369 animal3464 animal4734 2015 male Angler 88.59
animal1324 animal7 animal33 2015 male Angler 82.01
animal4801 animal3573 animal4263 2015 male Angler 93.94
animal3987 animal3743 animal16 2015 male Angler 59.4
animal3755 animal3540 animal48 2015 female Angler 65.81
animal8180 animal6153 animal65 2015 male Angler 79.53
animal4802 animal3901 animal4258 2015 female Angler 70.94
animal5370 animal4732 animal3703 2015 female Angler 82.78
animal1325 animal4 animal66 2015 female Angler 73.06
animal3756 animal3566 animal65 2015 female Angler 85.83
animal3988 animal3740 animal42 2015 female Angler 82.66
animal1326 animal4 animal67 2015 female Angler 64.81
animal3757 animal3561 animal29 2015 female Angler 91.47
animal3989 animal3740 animal68 2015 female Angler 89.87
animal3758 animal3585 animal29 2015 male Angler 66.13
animal3990 animal3690 animal69 2015 female Angler 77.47
animal4803 animal3695 animal4264 2015 female Angler 80.37
animal4804 animal4248 animal67 2015 female Angler 59.81
animal4805 animal5 animal4243 2015 female Angler 84.74
animal3603 animal3464 animal55 2015 female Angler 56.87
animal4295 animal3957 animal3244 2015 female Angler 76.12
animal4806 animal10 animal4262 2015 male Angler 72.71
animal4807 animal4254 animal49 2015 female Angler 83.13
animal3991 animal3712 animal21 2015 female Angler 84.38
animal3992 animal3744 animal70 2015 female Angler 78.98
animal3993 animal10 animal3706 2015 male Angler 90.62
animal1327 animal10 animal71 2015 female Angler 76.38
animal4296 animal3713 animal3897 2015 female Angler 73.71
animal6175 animal3707 animal5335 2015 male Angler 92.59
animal4297 animal3692 animal3944 2015 female Angler 90.27
animal4298 animal3900 animal72 2015 male Angler 76.38
animal3994 animal3739 animal25 2015 female Angler 94.63
animal6176 animal7 animal5332 2015 male Angler 67.73
animal6177 animal3739 animal5322 2015 male Angler 93.22
animal3995 animal3695 animal3583 2015 male Angler 87.39
animal4808 animal3529 animal4266 2015 male Angler 68.93
animal4299 animal3916 animal22 2015 female Angler 75.97
animal5371 animal4743 animal37 2015 female Angler 89.3
animal4809 animal3484 animal4268 2015 male Angler 68.41
animal6178 animal3689 animal5330 2015 female Angler 89.83
animal8181 animal3486 animal6157 2015 female Angler 94.73
animal4810 animal4231 animal3892 2015 female Angler 76.9
animal3996 animal3575 animal3706 2015 female Angler 81.22
animal4811 animal4244 animal24 2015 male Angler 60.21
animal5372 animal4244 animal4740 2015 male Angler 43.78
animal3604 animal3489 animal31 2015 female Angler 80.14
animal5373 animal3579 animal4740 2015 male Angler 74.97
animal4300 animal3924 animal29 2015 female Angler 60.17
animal4301 animal3712 animal3960 2015 female Angler 80.48
animal5374 animal3742 animal4745 2015 female Angler 82.73
animal6179 animal5336 animal3706 2015 female Angler 77.88
animal8182 animal3349 animal6154 2015 male Angler 99.37
animal4302 animal3916 animal73 2015 female Angler 83.06
animal3605 animal3476 animal36 2015 male Angler 93.42
animal3759 animal3579 animal73 2015 male Angler 67.95
animal3997 animal3689 animal54 2015 male Angler 80.2
animal4303 animal3927 animal39 2015 male Angler 74.73
animal3367 animal1 animal3244 2015 male Angler 97.9
animal6180 animal3957 animal5322 2015 female Angler 63.25
animal4812 animal3 animal4247 2015 male Angler 77.22
animal3998 animal3725 animal27 2015 female Angler 88.24
animal4304 animal3943 animal43 2015 female Angler 76.84
animal5375 animal3728 animal4740 2015 male Angler 67.15
animal4813 animal3540 animal4256 2015 female Angler 67.73
animal4814 animal3698 animal4265 2015 female Angler 74.07
animal3999 animal3729 animal17 2015 male Angler 69.86
animal4000 animal3715 animal64 2015 female Angler 84.85
animal4305 animal3 animal3910 2015 female Angler 71.59
animal4815 animal3734 animal4235 2015 female Angler 86.58
animal4306 animal3901 animal39 2015 female Angler 86.93
animal8183 animal3909 animal6156 2015 female Angler 71.19
animal6181 animal5325 animal44 2015 male Angler 79.32
animal5376 animal3953 animal4731 2015 male Angler 66.67
animal5377 animal3692 animal4739 2015 female Angler 66.39
animal3606 animal3456 animal17 2015 female Angler 64.93
animal4307 animal3956 animal36 2015 female Angler 69.45
animal5378 animal4722 animal3714 2015 male Angler 102.17
animal8184 animal3688 animal6156 2015 male Angler 80.92
animal10293 animal3456 animal8165 2015 female Angler 79.68
animal8185 animal3540 animal6157 2015 male Angler 69.06
animal4001 animal3718 animal27 2015 male Angler 102.97
animal4002 animal3688 animal58 2015 male Angler 82.29
animal4308 animal3898 animal15 2015 male Angler 74.64
animal3760 animal3568 animal67 2015 female Angler 72.36
animal5379 animal3695 animal4726 2015 female Angler 99.31
animal3761 animal3561 animal57 2015 female Angler 73.14
animal4816 animal4220 animal50 2015 female Angler 83.18
animal4817 animal4249 animal42 2015 female Angler 69.85
animal3762 animal3205 animal3554 2015 female Angler 59.31
animal4818 animal4223 animal30 2015 male Angler 89.3
animal4819 animal4272 animal66 2015 male Angler 52.22
animal4003 animal3715 animal65 2015 male Angler 87.38
animal3763 animal3529 animal27 2015 male Angler 96.85
animal6182 animal3349 animal5328 2015 male Angler 66.33
animal4820 animal3900 animal4261 2015 male Angler 93.86
animal3764 animal3563 animal15 2015 female Angler 81.43
animal4004 animal3689 animal74 2015 female Angler 89.02
animal4821 animal3566 animal4265 2015 male Angler 84.31
animal4005 animal3699 animal3714 2015 male Angler 92.88
animal4006 animal3689 animal43 2015 male Angler 74.71
animal1328 animal11 animal57 2015 female Angler 62.61
animal4309 animal3900 animal35 2015 female Angler 77.27
animal4310 animal3739 animal3897 2015 male Angler 79.53
animal5380 animal4239 animal4747 2015 male Angler 86.87
animal4822 animal3348 animal4265 2015 male Angler 80.14
animal5381 animal3439 animal4745 2015 male Angler 66.94
animal4311 animal3529 animal3960 2015 female Angler 67.01
animal4312 animal7 animal3892 2015 male Angler 78.35
animal4313 animal3948 animal28 2015 male Angler 77.8
animal4823 animal3348 animal4250 2015 male Angler 91.45
animal5382 animal3932 animal4734 2015 female Angler 65.67
animal4314 animal3927 animal70 2015 female Angler 71.02
animal3607 animal3486 animal32 2015 female Angler 84.97
animal1329 animal2 animal27 2015 male Angler 113.22
animal4315 animal3561 animal3910 2015 female Angler 82.21
animal5383 animal4253 animal4747 2015 female Angler 71.52
animal3608 animal3456 animal75 2015 male Angler 83.64
animal4007 animal3722 animal59 2015 female Angler 71.13
animal3609 animal3349 animal3455 2015 male Angler 94.7
animal3765 animal3568 animal59 2015 female Angler 77.35
animal8186 animal6153 animal4745 2015 male Angler 84.36
animal4824 animal4248 animal76 2015 female Angler 62.61
animal1330 animal4 animal47 2015 female Angler 83.69
animal4316 animal3932 animal77 2015 female Angler 69.4
animal4008 animal3542 animal3747 2015 female Angler 86.02
animal5384 animal3905 animal4726 2015 female Angler 74.77
animal1331 animal12 animal27 2015 male Angler 83.86
animal8187 animal4722 animal6155 2015 male Angler 96.23
animal4825 animal4237 animal72 2015 male Angler 71.6
animal4826 animal3712 animal4245 2015 female Angler 84.69
animal4009 animal3733 animal19 2015 female Angler 86.16
animal4827 animal6 animal4263 2015 female Angler 72.88
animal6183 animal4270 animal5327 2015 male Angler 111.75
animal1332 animal10 animal47 2015 male Angler 78.9
animal5385 animal4253 animal4726 2015 male Angler 87.53
animal5386 animal4732 animal3910 2015 female Angler 86.05
animal4010 animal4 animal3706 2015 male Angler 90.26
animal4317 animal3957 animal26 2015 male Angler 75.64
animal4828 animal2 animal4265 2015 female Angler 60.18
animal3766 animal3570 animal24 2015 male Angler 81.96
animal4318 animal3722 animal3940 2015 male Angler 68.16
animal6184 animal4253 animal5333 2015 male Angler 69.47
animal3767 animal3542 animal39 2015 male Angler 87.54
animal4011 animal3711 animal78 2015 male Angler 97.1
animal4829 animal3488 animal4269 2015 male Angler 98.66
animal3768 animal3563 animal38 2015 male Angler 88.81
animal4319 animal3939 animal79 2015 male Angler 61.99
animal4830 animal8 animal4262 2015 female Angler 76.56
animal4831 animal2 animal4247 2015 male Angler 73.19
animal5387 animal3561 animal4728 2015 male Angler 93.2
animal3769 animal3586 animal24 2015 male Angler 70.41
animal4832 animal3718 animal4243 2015 female Angler 95.9
animal8188 animal3948 animal6154 2015 female Angler 80.27
animal5388 animal4 animal4726 2015 female Angler 99.52
animal4012 animal3725 animal3244 2015 male Angler 65.11
animal5389 animal3688 animal4736 2015 male Angler 82.51
animal4013 animal3715 animal61 2015 male Angler 92.95
animal4833 animal4241 animal33 2015 female Angler 86.04
animal4320 animal3728 animal3910 2015 male Angler 59.3
animal5390 animal3456 animal4728 2015 male Angler 78.94
animal5391 animal4732 animal3747 2015 female Angler 76.2
animal5392 animal3916 animal4739 2015 female Angler 69.94
animal5393 animal11 animal4731 2015 male Angler 81.53
animal3770 animal3573 animal40 2015 male Angler 71.06
animal5394 animal4743 animal18 2015 female Angler 68.83
animal4321 animal3542 animal3944 2015 female Angler 89.54
animal5395 animal4746 animal4250 2015 female Angler 68.93
animal4014 animal3725 animal41 2015 female Angler 89.56
animal3771 animal3540 animal69 2015 female Angler 66.77
animal3610 animal3481 animal38 2015 female Angler 95.36
animal4834 animal4252 animal4235 2015 male Angler 64.6
animal4322 animal3909 animal3897 2015 male Angler 79.66
animal4323 animal3939 animal71 2015 male Angler 72.83
animal6185 animal4252 animal5330 2015 male Angler 98.93
animal3611 animal3458 animal40 2015 female Angler 69.71
animal4835 animal3953 animal4266 2015 female Angler 78.57
animal4015 animal3589 animal3747 2015 male Angler 92.57
animal6186 animal3927 animal5335 2015 male Angler 76.04
animal4836 animal3488 animal4263 2015 female Angler 88.39
animal4837 animal3585 animal4247 2015 female Angler 81.59
animal6187 animal7 animal5328 2015 female Angler 58.92
animal4838 animal3696 animal4266 2015 female Angler 87.07
animal4016 animal3699 animal80 2015 male Angler 79.91
animal1333 animal13 animal77 2015 male Angler 61.95
animal3612 animal3481 animal36 2015 female Angler 97.2
animal5396 animal4744 animal19 2015 male Angler 67.51
animal11703 animal3561 animal10291 2015 male Angler 112.02
animal4324 animal3932 animal71 2015 female Angler 84.75
animal3772 animal3579 animal25 2015 male Angler 72.84
animal3773 animal3585 animal72 2015 male Angler 73.21
animal4017 animal3744 animal31 2015 female Angler 76.94
animal6188 animal11 animal5328 2015 female Angler 69.62
animal4839 animal3696 animal4213 2015 male Angler 95.18
animal4840 animal3709 animal4263 2015 female Angler 84.33
animal4841 animal3590 animal4258 2015 female Angler 72.95
animal6189 animal5324 animal24 2015 female Angler 48.81
animal3774 animal3540 animal67 2015 male Angler 60.27
animal4842 animal12 animal4269 2015 male Angler 73.8
animal4325 animal3890 animal40 2015 male Angler 73.35
animal10294 animal3349 animal8165 2015 male Angler 87.12
animal3613 animal7 animal3455 2015 male Angler 64.84
animal4018 animal3739 animal16 2015 female Angler 74.09
animal3775 animal3563 animal61 2015 male Angler 88.18
animal4843 animal3484 animal4262 2015 female Angler 68.2
animal4844 animal4242 animal65 2015 female Angler 71.82
animal4019 animal3712 animal81 2015 female Angler 72.14
animal8189 animal3905 animal6157 2015 female Angler 78.33
animal4326 animal3890 animal61 2015 female Angler 88.81
animal5397 animal4242 animal4736 2015 male Angler 92.56
animal3492 animal3361 animal33 2015 male Angler 92.73
animal1334 animal5 animal70 2015 male Angler 77.54
animal4845 animal4271 animal4265 2015 male Angler 92.12
animal4846 animal1 animal4267 2015 female Angler 97.11
animal4847 animal4248 animal48 2015 female Angler 76.51
animal6190 animal3715 animal5333 2015 male Angler 86.88
animal5398 animal4732 animal3703 2015 male Angler 95.67
animal4848 animal3663 animal4243 2015 male Angler 66.51
animal5399 animal1 animal4726 2015 male Angler 113.32
animal4327 animal6 animal3940 2015 male Angler 72.54
animal5400 animal3905 animal4740 2015 female Angler 64.45
animal4020 animal9 animal3716 2015 female Angler 73.55
animal6191 animal5325 animal40 2015 female Angler 68.77
animal4849 animal3953 animal4268 2015 male Angler 69.3
animal4850 animal4220 animal82 2015 female Angler 77.02
animal4328 animal3932 animal64 2015 male Angler 72.91
animal5401 animal3712 animal4739 2015 female Angler 69.04
animal3776 animal3589 animal73 2015 male Angler 77.97
animal8190 animal4254 animal6157 2015 male Angler 86.74
animal3777 animal3579 animal36 2015 male Angler 72.84
animal4021 animal3740 animal15 2015 male Angler 85.66
animal4851 animal4242 animal43 2015 male Angler 75.07
animal4852 animal3349 animal4261 2015 female Angler 72.53
animal5402 animal3484 animal4740 2015 female Angler 63.74
animal4022 animal3733 animal3554 2015 female Angler 66.28
animal4853 animal3470 animal4235 2015 female Angler 68.6
animal5403 animal3 animal4745 2015 male Angler 65.23
animal4854 animal4252 animal66 2015 male Angler 78.67
animal4855 animal4272 animal63 2015 male Angler 77.59
animal3778 animal3 animal3554 2015 female Angler 67.96
animal3614 animal3458 animal19 2015 male Angler 72.73
animal4856 animal3486 animal4265 2015 male Angler 85.24
animal8191 animal3930 animal6157 2015 male Angler 104.41
animal3615 animal3464 animal16 2015 male Angler 68.93
animal6192 animal5326 animal35 2015 female Angler 76.98
animal4329 animal3952 animal52 2015 male Angler 75.82
animal3779 animal3529 animal36 2015 female Angler 72.22
animal4023 animal3728 animal58 2015 female Angler 62.18
animal6193 animal14 animal5328 2015 female Angler 76.21
animal3780 animal3550 animal53 2015 female Angler 73.7
animal4857 animal3570 animal4264 2015 female Angler 97.04
animal5404 animal3729 animal4733 2015 male Angler 83.73
animal4330 animal3943 animal53 2015 female Angler 65.14
animal4024 animal3707 animal73 2015 female Angler 109.03
animal6194 animal13 animal5328 2015 male Angler 53.77
animal4025 animal3715 animal31 2015 female Angler 81.58
animal5405 animal1 animal4742 2015 female Angler 81.4
animal5406 animal3690 animal4726 2015 male Angler 102.4
animal3616 animal3458 animal50 2015 female Angler 97.28
animal4858 animal12 animal4269 2015 female Angler 86.2
animal5407 animal3488 animal4736 2015 female Angler 75.63
animal4026 animal3715 animal3716 2015 female Angler 75.82
animal4027 animal3688 animal67 2015 female Angler 58.28
animal3781 animal3532 animal63 2015 female Angler 85.21
animal4859 animal4242 animal4235 2015 male Angler 63.19
animal4028 animal3742 animal53 2015 male Angler 72.52
animal4331 animal2 animal3892 2015 male Angler 81.39
animal4332 animal3943 animal45 2015 male Angler 91.41
animal3617 animal3456 animal55 2015 male Angler 72.66
animal6195 animal3692 animal5331 2015 male Angler 93.58
animal4860 animal4220 animal4264 2015 male Angler 79.4
animal3368 animal3225 animal80 2015 male Angler 78.89
animal4861 animal3488 animal4263 2015 female Angler 84.01
animal4029 animal3707 animal3747 2015 male Angler 98.64
animal8192 animal3 animal6156 2015 female Angler 79.72
animal5408 animal4238 animal4726 2015 male Angler 81.54
animal4030 animal3692 animal26 2015 female Angler 84.01
animal4862 animal4220 animal76 2015 male Angler 96.13
animal4863 animal4244 animal3747 2015 male Angler 66.34
animal5409 animal3927 animal4742 2015 male Angler 93.38
animal1335 animal5 animal80 2015 female Angler 77.38
animal4864 animal4238 animal25 2015 female Angler 57.75
animal11704 animal3722 animal10291 2015 female Angler 85.44
animal5410 animal3439 animal4738 2015 male Angler 74.81
animal8193 animal3709 animal6155 2015 female Angler 84.38
animal5411 animal4744 animal83 2015 male Angler 88.7
animal3618 animal3488 animal49 2015 female Angler 78.37
animal4031 animal3729 animal53 2015 female Angler 48.91
animal4865 animal4244 animal61 2015 female Angler 57.71
animal4333 animal3957 animal3554 2015 female Angler 66.39
animal4032 animal3563 animal3706 2015 male Angler 91.26
animal5412 animal4743 animal3940 2015 male Angler 91.09
animal4334 animal10 animal3960 2015 male Angler 77.13
animal4033 animal3743 animal43 2015 female Angler 92.49
animal8194 animal3729 animal6155 2015 male Angler 73.16
animal3493 animal3361 animal39 2015 male Angler 86.01
animal3369 animal3225 animal50 2015 male Angler 79.85
animal6196 animal5334 animal4726 2015 male Angler 77.38
animal4034 animal3689 animal81 2015 female Angler 76.34
animal4335 animal3202 animal3940 2015 female Angler 75.19
animal5413 animal1 animal4726 2015 male Angler 78.02
animal3782 animal3570 animal68 2015 male Angler 82.33
animal4035 animal3692 animal72 2015 male Angler 94.68
animal5414 animal3722 animal4734 2015 female Angler 71.3
animal4336 animal3927 animal67 2015 male Angler 76.4
animal3783 animal3579 animal32 2015 male Angler 73.03
animal4036 animal3740 animal24 2015 female Angler 72.57
animal8195 animal6153 animal73 2015 male Angler 72.37
animal4866 animal3532 animal4267 2015 male Angler 103.56
animal3619 animal3489 animal3244 2015 female Angler 58.36
animal4867 animal4244 animal81 2015 male Angler 56.03
animal6197 animal4242 animal5327 2015 female Angler 96.87
animal4868 animal4242 animal37 2015 male Angler 92.78
animal4869 animal3725 animal4245 2015 male Angler 76.97
animal8196 animal8 animal6157 2015 female Angler 79.76
animal4037 animal3722 animal84 2015 female Angler 63.48
animal5415 animal4743 animal47 2015 male Angler 94.23
animal4337 animal3957 animal3944 2015 female Angler 65.18
animal4870 animal4223 animal78 2015 female Angler 78.3
animal6198 animal5334 animal3892 2015 male Angler 94.22
animal4038 animal3725 animal20 2015 female Angler 73.93
animal4039 animal3663 animal62 2015 male Angler 64.47
animal4871 animal4241 animal26 2015 male Angler 86.16
animal4872 animal4238 animal26 2015 male Angler 66.83
animal5416 animal3361 animal4739 2015 male Angler 70.54
animal4873 animal4228 animal54 2015 female Angler 84.18
animal5417 animal3930 animal4740 2015 female Angler 82.8
animal4874 animal3481 animal4261 2015 female Angler 88.65
animal5418 animal3942 animal4738 2015 male Angler 100.68
animal6199 animal5324 animal5333 2015 male Angler 57.12
animal4338 animal3953 animal69 2015 female Angler 81.34
animal3620 animal3484 animal55 2015 female Angler 58.93
animal4040 animal3690 animal70 2015 female Angler 79.7
animal4339 animal3718 animal3944 2015 male Angler 84.56
animal1336 animal7 animal19 2015 male Angler 74.26
animal6200 animal5326 animal4264 2015 female Angler 83.93
animal4340 animal3957 animal68 2015 female Angler 78.9
